WELLNAME    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-13     2466        6470978.02  437653.7    106         106         0           0           6470978.02  437653.7    0
15/9-13     2466        6470978.02  437653.7    120.7       120.7       0.55        274.2       6470978.03  437653.62   1.12
15/9-13     2466        6470978.02  437653.7    130.76      130.76      0.59        267.05      6470978.03  437653.53   0.24
15/9-13     2466        6470978.02  437653.7    140.82      140.82      0.64        259.9       6470978.01  437653.42   0.27
15/9-13     2466        6470978.02  437653.7    150.88      150.88      0.68        252.75      6470977.99  437653.31   0.27
15/9-13     2466        6470978.02  437653.7    160.93      160.93      0.73        245.6       6470977.94  437653.19   0.3
15/9-13     2466        6470978.02  437653.7    170.99      170.99      0.75        239.68      6470977.88  437653.08   0.24
15/9-13     2466        6470978.02  437653.7    181.05      181.05      0.74        235.05      6470977.81  437652.97   0.18
15/9-13     2466        6470978.02  437653.7    191.11      191.1       0.73        230.41      6470977.74  437652.86   0.18
15/9-13     2466        6470978.02  437653.7    201.17      201.16      0.72        225.78      6470977.65  437652.77   0.18
15/9-13     2466        6470978.02  437653.7    211.23      211.22      0.72        221.14      6470977.56  437652.68   0.17
15/9-13     2466        6470978.02  437653.7    221.28      221.27      0.71        216.51      6470977.46  437652.6    0.17
15/9-13     2466        6470978.02  437653.7    231.34      231.33      0.7         211.87      6470977.36  437652.53   0.17
15/9-13     2466        6470978.02  437653.7    241.4       241.39      0.7         207.24      6470977.25  437652.47   0.17
15/9-13     2466        6470978.02  437653.7    251.46      251.45      0.69        202.6       6470977.14  437652.42   0.17
15/9-13     2466        6470978.02  437653.7    261.52      261.51      0.68        197.97      6470977.03  437652.38   0.17
15/9-13     2466        6470978.02  437653.7    271.58      271.57      0.67        193.33      6470976.91  437652.35   0.17
15/9-13     2466        6470978.02  437653.7    281.64      281.63      0.67        188.7       6470976.8   437652.33   0.16
15/9-13     2466        6470978.02  437653.7    291.69      291.68      0.66        184.06      6470976.68  437652.31   0.16
15/9-13     2466        6470978.02  437653.7    301.75      301.74      0.65        179.43      6470976.57  437652.31   0.16
15/9-13     2466        6470978.02  437653.7    311.81      311.8       0.64        174.79      6470976.46  437652.31   0.16
15/9-13     2466        6470978.02  437653.7    321.87      321.86      0.64        170.16      6470976.34  437652.33   0.15
15/9-13     2466        6470978.02  437653.7    331.93      331.91      0.63        165.52      6470976.24  437652.35   0.16
15/9-13     2466        6470978.02  437653.7    341.99      341.97      0.62        160.89      6470976.13  437652.38   0.15
15/9-13     2466        6470978.02  437653.7    352.04      352.02      0.61        156.25      6470976.03  437652.42   0.15
15/9-13     2466        6470978.02  437653.7    362.1       362.08      0.61        151.61      6470975.93  437652.47   0.15
15/9-13     2466        6470978.02  437653.7    372.16      372.14      0.6         146.98      6470975.84  437652.52   0.15
15/9-13     2466        6470978.02  437653.7    382.22      382.2       0.59        142.34      6470975.76  437652.58   0.15
15/9-13     2466        6470978.02  437653.7    392.28      392.26      0.59        137.71      6470975.68  437652.65   0.14
15/9-13     2466        6470978.02  437653.7    402.34      402.32      0.58        133.08      6470975.61  437652.72   0.14
15/9-13     2466        6470978.02  437653.7    412.39      412.37      0.57        128.44      6470975.54  437652.8    0.14
15/9-13     2466        6470978.02  437653.7    422.45      422.43      0.56        123.8       6470975.48  437652.88   0.14
15/9-13     2466        6470978.02  437653.7    432.51      432.49      0.56        119.17      6470975.43  437652.96   0.13
15/9-13     2466        6470978.02  437653.7    442.57      442.55      0.55        114.53      6470975.39  437653.05   0.14
15/9-13     2466        6470978.02  437653.7    452.63      452.61      0.54        109.9       6470975.35  437653.14   0.13
15/9-13     2466        6470978.02  437653.7    462.69      462.67      0.54        105.26      6470975.32  437653.23   0.13
15/9-13     2466        6470978.02  437653.7    472.74      472.72      0.53        100.63      6470975.3   437653.32   0.13
15/9-13     2466        6470978.02  437653.7    482.8       482.78      0.52        95.99       6470975.29  437653.41   0.13
15/9-13     2466        6470978.02  437653.7    492.86      492.84      0.51        91.36       6470975.28  437653.5    0.13
15/9-13     2466        6470978.02  437653.7    502.92      502.9       0.51        86.72       6470975.28  437653.59   0.12
15/9-13     2466        6470978.02  437653.7    512.98      512.96      0.49        82.06       6470975.29  437653.68   0.14
15/9-13     2466        6470978.02  437653.7    523.04      523.02      0.47        77.28       6470975.31  437653.76   0.13
