Wellname    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-15    2628  6462991.44   436817.55     1891.44     1891.31        1.62      342.47  6463000.15   436811.13         0.1
15/9-15    2628  6462991.44   436817.55     1921.46     1921.32        1.55      340.32  6463000.94   436810.87        0.09
15/9-15    2628  6462991.44   436817.55     1951.48     1951.33        1.53      337.22  6463001.69   436810.58        0.09
15/9-15    2628  6462991.44   436817.55      1981.5     1981.33         1.6      332.56  6463002.43   436810.23        0.15
15/9-15    2628  6462991.44   436817.55     2011.53     2011.35        1.67      327.89  6463003.17    436809.8        0.15
15/9-15    2628  6462991.44   436817.55     2041.55     2041.36        1.75      323.23  6463003.91    436809.3        0.16
15/9-15    2628  6462991.44   436817.55     2071.57     2071.36        1.83      327.25  6463004.68   436808.76        0.15
15/9-15    2628  6462991.44   436817.55      2101.6     2101.38        1.91      331.72  6463005.52   436808.27        0.17
15/9-15    2628  6462991.44   436817.55     2131.62     2131.38        1.99       336.2  6463006.44   436807.82        0.17
15/9-15    2628  6462991.44   436817.55     2161.64     2161.39        1.71      342.52  6463007.34   436807.48        0.35
15/9-15    2628  6462991.44   436817.55     2191.66     2191.39        1.36      349.22  6463008.12   436807.27        0.39
15/9-15    2628  6462991.44   436817.55     2221.69     2221.42           1      355.93  6463008.73   436807.19        0.38
15/9-15    2628  6462991.44   436817.55     2251.71     2251.43           1      348.87  6463009.25   436807.12        0.12
15/9-15    2628  6462991.44   436817.55     2281.73     2281.45           1      341.66  6463009.76   436806.99        0.13
15/9-15    2628  6462991.44   436817.55     2311.75     2311.46        0.96      337.72  6463010.24   436806.81        0.08
15/9-15    2628  6462991.44   436817.55     2341.78     2341.49        0.89      337.16  6463010.68   436806.62        0.07
15/9-15    2628  6462991.44   436817.55      2371.8     2371.51        0.82       336.6   6463011.1   436806.45        0.07
15/9-15    2628  6462991.44   436817.55     2401.82     2401.52        0.75      336.04  6463011.47   436806.28        0.07
15/9-15    2628  6462991.44   436817.55     2431.85     2431.55        0.55      338.46  6463011.79   436806.15         0.2
15/9-15    2628  6462991.44   436817.55     2461.87     2461.57        0.32      341.11     6463012   436806.07        0.23
15/9-15    2628  6462991.44   436817.55     2491.89     2491.59        0.06         342  6463012.09   436806.04        0.26
15/9-15    2628  6462991.44   436817.55     2521.91     2521.61        0.34      338.29  6463012.19      436806        0.28
15/9-15    2628  6462991.44   436817.55     2551.94     2551.64        0.76      333.64  6463012.45   436805.88        0.42
15/9-15    2628  6462991.44   436817.55     2581.96     2581.66        1.12      330.52  6463012.89   436805.65        0.36
15/9-15    2628  6462991.44   436817.55     2611.98     2611.67         1.4      329.41  6463013.46   436805.31        0.28
15/9-15    2628  6462991.44   436817.55     2642.01     2641.69         1.5      325.89   6463014.1   436804.91        0.13
