# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 16/01/1997
#              at 10:20:09
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/9-17
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEVIATION SURVEY
LNGTDE=      1.94821667
LATTDE=     58.44560833
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   163.00000      0.75000     26.67000
   510.00000      0.25000    263.67001
   610.00000      0.25000     23.67000
   714.00000      0.75000    237.67000
   790.00000      0.50000     34.67000
   896.00000      0.50000     35.67000
  1001.00000      0.50000     36.67000
  1131.00000      0.50000    145.67000
  1226.00000      0.75000    136.67000
  1331.00000      0.00000      0.00000
  1426.00000      0.25000    336.67001
  1531.00000      0.50000     54.67000
  1635.00000      1.00000     41.67000
  1730.00000      0.75000     99.67000
  1834.00000      1.00000     11.67000
  1939.00000      1.50000    353.67001
  2044.00000      0.75000     10.67000
  2148.00000      1.00000    352.67001
  2253.00000      1.00000      4.67000
  2364.00000      1.00000    344.67001
  2394.00000      1.13300     23.67000
  2421.00000      1.25000      2.67000
  2504.00000      1.00000    336.67001
  2555.00000      1.00000    332.67001
  2612.00000      0.50000    294.67001
  2703.00000      1.25000    101.67000
  2710.00000      0.50000     96.67000
  2805.00000      0.50000     17.00000
  2894.00000      0.25000    178.00000
  2945.00000      0.75000    200.00000
  3000.00000      0.75000    253.67000
  3116.00000      1.50000    254.67000
 
CDMETH= MCURV
 
#    <Depth>         <DX>         <DY>        <TVD>
   110.00000      0.32315      0.64334    109.99686
   111.00000      0.32608      0.64919    110.99683
   112.00000      0.32902      0.65504    111.99680
   113.00000      0.33196      0.66089    112.99677
   114.00000      0.33490      0.66674    113.99675
   115.00000      0.33783      0.67258    114.99672
   116.00000      0.34077      0.67843    115.99669
   117.00000      0.34371      0.68428    116.99666
   118.00000      0.34665      0.69013    117.99664
   119.00000      0.34958      0.69598    118.99660
   120.00000      0.35252      0.70183    119.99657
   121.00000      0.35546      0.70768    120.99654
   122.00000      0.35840      0.71352    121.99652
   123.00000      0.36133      0.71937    122.99649
   124.00000      0.36427      0.72522    123.99646
   125.00000      0.36721      0.73107    124.99644
   126.00000      0.37015      0.73692    125.99641
   127.00000      0.37309      0.74277    126.99638
   128.00000      0.37602      0.74862    127.99635
   129.00000      0.37896      0.75446    128.99632
   130.00000      0.38190      0.76031    129.99629
   131.00000      0.38484      0.76616    130.99626
   132.00000      0.38777      0.77201    131.99623
   133.00000      0.39071      0.77786    132.99620
   134.00000      0.39365      0.78371    133.99617
   135.00000      0.39659      0.78956    134.99615
   136.00000      0.39952      0.79540    135.99612
   137.00000      0.40246      0.80125    136.99609
   138.00000      0.40540      0.80710    137.99606
   139.00000      0.40834      0.81295    138.99603
   140.00000      0.41128      0.81880    139.99600
   141.00000      0.41421      0.82465    140.99597
   142.00000      0.41715      0.83050    141.99594
   143.00000      0.42009      0.83634    142.99593
   144.00000      0.42303      0.84219    143.99590
   145.00000      0.42596      0.84804    144.99586
   146.00000      0.42890      0.85389    145.99583
   147.00000      0.43184      0.85974    146.99580
   148.00000      0.43478      0.86559    147.99577
   149.00000      0.43771      0.87144    148.99574
   150.00000      0.44065      0.87728    149.99573
   151.00000      0.44359      0.88313    150.99570
   152.00000      0.44653      0.88898    151.99567
   153.00000      0.44947      0.89483    152.99564
   154.00000      0.45240      0.90068    153.99561
   155.00000      0.45534      0.90653    154.99557
   156.00000      0.45828      0.91238    155.99554
   157.00000      0.46122      0.91822    156.99551
   158.00000      0.46415      0.92407    157.99550
   159.00000      0.46709      0.92992    158.99547
   160.00000      0.47003      0.93577    159.99544
   161.00000      0.47297      0.94162    160.99541
   162.00000      0.47590      0.94747    161.99538
   163.00000      0.47884      0.95331    162.99535
   164.00000      0.47961      0.95892    163.99532
   165.00000      0.48038      0.96453    164.99530
   166.00000      0.48115      0.97014    165.99527
   167.00000      0.48192      0.97575    166.99524
   168.00000      0.48269      0.98136    167.99521
   169.00000      0.48346      0.98696    168.99519
   170.00000      0.48423      0.99257    169.99516
   171.00000      0.48500      0.99818    170.99513
   172.00000      0.48577      1.00379    171.99510
   173.00000      0.48654      1.00940    172.99509
   174.00000      0.48730      1.01500    173.99506
   175.00000      0.48807      1.02061    174.99503
   176.00000      0.48884      1.02622    175.99500
   177.00000      0.48961      1.03183    176.99498
   178.00000      0.49038      1.03744    177.99495
   179.00000      0.49115      1.04304    178.99492
   180.00000      0.49192      1.04865    179.99490
   181.00000      0.49269      1.05426    180.99487
   182.00000      0.49346      1.05987    181.99484
   183.00000      0.49423      1.06548    182.99481
   184.00000      0.49500      1.07108    183.99478
   185.00000      0.49577      1.07669    184.99477
   186.00000      0.49654      1.08230    185.99474
   187.00000      0.49731      1.08791    186.99471
   188.00000      0.49807      1.09352    187.99469
   189.00000      0.49884      1.09912    188.99466
   190.00000      0.49961      1.10473    189.99463
   191.00000      0.50038      1.11034    190.99460
   192.00000      0.50115      1.11595    191.99458
   193.00000      0.50192      1.12156    192.99455
