# Tigress ASCII Data File Version 4.1
# Copyright (c) 1993 Simon Petroleum Technology Ltd.
# 
# File created on 23/05/1997
#              at 09:21:42
#              by user cpi
# 
# using TIGRESS Deviation file conversion.
 
# Global Units Information
UNIT_DEPTH= m
UNIT_OFFSET= m
 
# Well Information
WELLNM= 15/8-1
OPERTR= STATOIL
 
# Deviation Data Information
DATTYP= DEVN
 
DESCRP= DEV SURVEY
LNGTDE=      1.57286389
LATTDE=     58.36336111
REFDIR=      0.00000000
 
#    <Depth><Inclination>    <Azimuth>
     0.00000      0.00000      0.00000
   563.00000      0.50000     81.00000
   631.00000      0.50000    135.00000
   698.00000      0.50000     88.00000
   766.00000      0.50000    219.00000
   833.00000      0.30000    239.00000
   126.00000      0.54301      0.08600    125.99840
   127.00000      0.54732      0.08669    126.99838
   128.00000      0.55163      0.08737    127.99837
   129.00000      0.55594      0.08805    128.99835
   130.00000      0.56024      0.08873    129.99835
   131.00000      0.56455      0.08942    130.99834
   132.00000      0.56886      0.09010    131.99832
   133.00000      0.57317      0.09078    132.99831
   134.00000      0.57748      0.09146    133.99829
   135.00000      0.58179      0.09215    134.99828
   136.00000      0.58610      0.09283    135.99828
   137.00000      0.59041      0.09351    136.99826
   138.00000      0.59472      0.09419    137.99825
   139.00000      0.59903      0.09488    138.99823
   140.00000      0.60334      0.09556    139.99821
   141.00000      0.60765      0.09624    140.99820
   142.00000      0.61196      0.09692    141.99820
   143.00000      0.61627      0.09761    142.99818
   144.00000      0.62058      0.09829    143.99817
   145.00000      0.62489      0.09897    144.99815
   146.00000      0.62920      0.09966    145.99814
   147.00000      0.63351      0.10034    146.99812
   148.00000      0.63782      0.10102    147.99812
   149.00000      0.64213      0.10170    148.99811
   150.00000      0.64644      0.10239    149.99809
   151.00000      0.65075      0.10307    150.99808
   152.00000      0.65506      0.10375    151.99806
   153.00000      0.65937      0.10443    152.99805
   154.00000      0.66367      0.10512    153.99805
   155.00000      0.66798      0.10580    154.99803
   156.00000      0.67229      0.10648    155.99802
   157.00000      0.67660      0.10716    156.99800
   158.00000      0.68091      0.10785    157.99799
   159.00000      0.68522      0.10853    158.99797
   160.00000      0.68953      0.10921    159.99797
   161.00000      0.69384      0.10989    160.99796
   162.00000      0.69815      0.11058    161.99794
   163.00000      0.70246      0.11126    162.99792
   164.00000      0.70677      0.11194    163.99791
   165.00000      0.71108      0.11262    164.99789
   166.00000      0.71539      0.11331    165.99789
   167.00000      0.71970      0.11399    166.99788
   168.00000      0.72401      0.11467    167.99786
   169.00000      0.72832      0.11535    168.99785
   170.00000      0.73263      0.11604    169.99783
   171.00000      0.73694      0.11672    170.99782
   172.00000      0.74125      0.11740    171.99782
   173.00000      0.74556      0.11808    172.99780
   174.00000      0.74987      0.11877    173.99779
   175.00000      0.75418      0.11945    174.99777
   176.00000      0.75849      0.12013    175.99776
   177.00000      0.76279      0.12081    176.99774
   178.00000      0.76710      0.12150    177.99774
   179.00000      0.77141      0.12218    178.99773
   180.00000      0.77572      0.12286    179.99771
   181.00000      0.78003      0.12355    180.99770
   182.00000      0.78434      0.12423    181.99768
   183.00000      0.78865      0.12491    182.99767
   184.00000      0.79296      0.12559    183.99767
   185.00000      0.79727      0.12628    184.99765
   186.00000      0.80158      0.12696    185.99763
   187.00000      0.80589      0.12764    186.99762
   188.00000      0.81020      0.12832    187.99760
   189.00000      0.81451      0.12901    188.99759
   190.00000      0.81882      0.12969    189.99759
   191.00000      0.82313      0.13037    190.99757
   192.00000      0.82744      0.13105    191.99756
   193.00000      0.83175      0.13174    192.99754
   194.00000      0.83606      0.13242    193.99753
   195.00000      0.84037      0.13310    194.99751
   196.00000      0.84468      0.13378    195.99751
   197.00000      0.84899      0.13447    196.99750
   198.00000      0.85330      0.13515    197.99748
   199.00000      0.85761      0.13583    198.99747
   200.00000      0.86192      0.13651    199.99745
   201.00000      0.86622      0.13720    200.99744
   202.00000      0.87053      0.13788    201.99744
   203.00000      0.87484      0.13856    202.99742
   204.00000      0.87915      0.13924    203.99741
   205.00000      0.88346      0.13993    204.99739
   206.00000      0.88777      0.14061    205.99738
   207.00000      0.89208      0.14129    206.99736
   208.00000      0.89639      0.14197    207.99736
   209.00000      0.90070      0.14266    208.99734
   210.00000      0.90501      0.14334    209.99733
   211.00000      0.90932      0.14402    210.99731
   212.00000      0.91363      0.14470    211.99730
   213.00000      0.91794      0.14539    212.99728
   214.00000      0.92225      0.14607    213.99728
   215.00000      0.92656      0.14675    214.99727
   216.00000      0.93087      0.14744    215.99725
   217.00000      0.93518      0.14812    216.99724
   218.00000      0.93949      0.14880    217.99722
   219.00000      0.94380      0.14948    218.99721
   220.00000      0.94811      0.15017    219.99721
   221.00000      0.95242      0.15085    220.99719
   222.00000      0.95673      0.15153    221.99718
   223.00000      0.96104      0.15221    222.99716
   224.00000      0.96534      0.15290    223.99715
   225.00000      0.96965      0.15358    224.99713
   226.00000      0.97396      0.15426    225.99713
   227.00000      0.97827      0.15494    226.99712
   228.00000      0.98258      0.15563    227.99710
   229.00000      0.98689      0.15631    228.99709
   230.00000      0.99120      0.15699    229.99707
   231.00000      0.99551      0.15767    230.99706
   232.00000      0.99982      0.15836    231.99706
   233.00000      1.00413      0.15904    232.99704
   234.00000      1.00844      0.15972    233.99702
   235.00000      1.01275      0.16040    234.99701
   236.00000      1.01706      0.16109    235.99699
   237.00000      1.02137      0.16177    236.99698
   238.00000      1.02568      0.16245    237.99698
   239.00000      1.02999      0.16313    238.99696
   240.00000      1.03430      0.16382    239.99695
   241.00000      1.03861      0.16450    240.99693
   242.00000      1.04292      0.16518    241.99692
   243.00000      1.04723      0.16586    242.99690
   244.00000      1.05154      0.16655    243.99690
   245.00000      1.05585      0.16723    244.99689
   246.00000      1.06016      0.16791    245.99687
   247.00000      1.06447      0.16859    246.99686
   248.00000      1.06877      0.16928    247.99684
