HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Det norske oljeselskap ASA
FIELD:	Exploration - UTM Zone 31
WELL NAME:	15/9-24 Storkinn
WELLBORE NAME:	15/9-24 Storkinn
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	105.50 m
SURVEYNAME:	15/9-24 Storkinn
SURVEYDATE:	24-06-2010
PRINTED DATE:	24-06-2010
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	Bredford Dolphin
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	440297.10m
SLOT NS MAP:	6459849.30m
SURFACE LATITUDE MAP:	58° 16' 27.524 N
SURFACE LONGITUDE  MAP:	1° 58' 55.873 E
BOTTOM HOLE MD:	2400.00 m
BOTTOM HOLE TVD:	2399.75 m
BOTTOM HOLE EW MAP:	440297.64m
BOTTOM HOLE NS MAP:	6459853.66m
----------------------------------------------------------------	
WATER DEPTH:	80.50 m
KB-MSL:	25.00 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  107.00 - 149.20 15/9-24; 36" MWD+SC+SAG : MWD+SC+SAG
H  182.90 - 620.69 15/9-24; 26'' MWD+SC+SAG : MWD+SC+SAG
H  638.70 - 1480.40 15/9-24; 17 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  1508.30 - 2387.90 15/9-24; 8 1/2'' MWD+SC+SAG : MWD+SC+SAG
H  2400.00 - 2400.00 15/9-24; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
638.70  	0.53    	73.37     	638.65    	613.65    	440293.24   	6459845.58    	-3.72       	-3.86       	0.91        	-3.72     	    58° 16' 27.402 N	     1° 58' 55.640 E	
674.20  	0.58    	76.94     	674.15    	649.15    	440293.58   	6459845.66    	-3.64       	-3.52       	0.05        	-3.64     	    58° 16' 27.405 N	     1° 58' 55.661 E	
703.30  	0.72    	69.03     	703.25    	678.25    	440293.89   	6459845.76    	-3.54       	-3.21       	0.17        	-3.54     	    58° 16' 27.408 N	     1° 58' 55.680 E	
730.80  	0.70    	68.82     	730.75    	705.75    	440294.21   	6459845.89    	-3.41       	-2.89       	0.02        	-3.41     	    58° 16' 27.412 N	     1° 58' 55.699 E	
755.10  	0.75    	71.35     	755.05    	730.05    	440294.50   	6459845.99    	-3.31       	-2.60       	0.07        	-3.31     	    58° 16' 27.416 N	     1° 58' 55.717 E	
789.10  	0.83    	69.90     	789.04    	764.04    	440294.94   	6459846.15    	-3.15       	-2.16       	0.07        	-3.15     	    58° 16' 27.421 N	     1° 58' 55.744 E	
813.90  	0.88    	74.04     	813.84    	788.84    	440295.29   	6459846.26    	-3.04       	-1.81       	0.10        	-3.04     	    58° 16' 27.425 N	     1° 58' 55.765 E	
846.80  	0.93    	70.40     	846.74    	821.74    	440295.79   	6459846.42    	-2.88       	-1.31       	0.07        	-2.88     	    58° 16' 27.430 N	     1° 58' 55.795 E	
875.50  	1.05    	72.29     	875.43    	850.43    	440296.26   	6459846.58    	-2.72       	-0.84       	0.13        	-2.72     	    58° 16' 27.435 N	     1° 58' 55.824 E	
933.90  	1.14    	72.76     	933.82    	908.82    	440297.32   	6459846.91    	-2.39       	0.22        	0.05        	-2.39     	    58° 16' 27.447 N	     1° 58' 55.889 E	
