# PBAscii Data File  PDS Version 2.4.4
# Copyright (C) 2001  PGS Tigress UK Limited
#
# File created by avocat on 28/06/2004
# using pdsboot_base( PDS Version 2.4.4 )
#

SRCAPPL= project
SRCFILE= stdin

UNITS= METRIC

WELLNM= 15/12-A-12 A
OPERTR= PERTRA AS
WELLSYMB=      3

LNGTDE=     1.89051194
LATTDE=    58.07790889
NORTHING=      6438068.329790
EASTING=       434560.095640
PERMDAT= MSL
REFNAME= KB
PROJCOD=      1


# Elevation data: <Point> <Ref Datum> <Height> [<start date> <end date>]
#                                      metres

ELVREF= KB MSL   51.500000   28/12/2003 28/12/2003

DATTYP= DEVN
DESCRP= Deviation Survey
LNGTDE=     1.89051111
LATTDE=    58.07790833
REFDIR=     0.00000000
FDTSTAT=      0

#    <Depth>      <Inclination>    <Azimuth>
   68.000000       0.00000000     0.00000000    68.000000
   70.000000       0.00000000     0.00000000    70.000000
   72.000000       0.00000000     0.00000000    72.000000
   74.000000       0.00000000     0.00000000    74.000000
   76.000000       0.00000000     0.00000000    76.000000
   78.000000       0.00000000     0.00000000    78.000000
   80.000000       0.00000000     0.00000000    80.000000
   82.000000       0.00000000     0.00000000    82.000000
   84.000000       0.00000000     0.00000000    84.000000
   86.000000       0.00000000     0.00000000    86.000000
   88.000000       0.00000000     0.00000000    88.000000
   90.000000       0.00000000     0.00000000    90.000000
   92.000000       0.00000000     0.00000000    92.000000
   94.000000       0.00000000     0.00000000    94.000000
   96.000000       0.00000000     0.00000000    96.000000
   98.000000       0.00000000     0.00000000    98.000000
  100.00000        0.00000000     0.00000000   100.00000
  102.00000        0.00000000     0.00000000   102.00000
  104.00000        0.00000000     0.00000000   104.00000
  106.00000        0.00000000     0.00000000   106.00000
  108.00000        0.00000000     0.00000000   108.00000
  110.00000        0.00000000     0.00000000   110.00000
  112.00000        0.00000000     0.00000000   112.00000
  114.00000        0.00000000     0.00000000   114.00000
  116.00000        0.00000000     0.00000000   116.00000
  118.00000        0.00000000     0.00000000   118.00000
  120.00000        0.00000000     0.00000000   120.00000
  122.00000        0.00000000     0.00000000   122.00000
  124.00000        0.00000000     0.00000000   124.00000
  126.00000        0.00000000     0.00000000   126.00000
  128.00000        0.00000000     0.00000000   128.00000
  130.00000        0.00000000     0.00000000   130.00000
  132.00000        0.00000000     0.00000000   132.00000
  134.00000        0.00000000     0.00000000   134.00000
  136.00000       -0.00249387     0.00300174   136.00000
  138.00000       -0.00872850     0.01050607   138.00000
  140.00000       -0.01496314     0.01801040   140.00000
  142.00000       -0.02119778     0.02551473   142.00000
  144.00000       -0.02743242     0.03301905   144.00000
  146.00000       -0.03366706     0.04052338   145.99983
  148.00000       -0.03990170     0.04802771   147.99980
  150.00000       -0.04613634     0.05553204   149.99977
  152.00000       -0.05237098     0.06303637   151.99974
  154.00000       -0.05860562     0.07054070   153.99969
  156.00000       -0.06484026     0.07804503   155.99966
  158.00000       -0.07107490     0.08554935   157.99963
  160.00000       -0.07730953     0.09305368   159.99960
  162.00000       -0.08354417     0.10055801   161.99957
  164.00000       -0.08977881     0.10806233   163.99954
  166.00000       -0.09601346     0.11556666   165.99951
  168.00000       -0.10224809     0.12307099   167.99948
  170.00000       -0.10848273     0.13057531   169.99945
  172.00000       -0.11471737     0.13807964   171.99942
  174.00000       -0.12095201     0.14558397   173.99939
  176.00000       -0.12718666     0.15308830   175.99936
  178.00000       -0.13342129     0.16059263   177.99933
  180.00000       -0.13965593     0.16809696   179.99930
  182.00000       -0.14589056     0.17560129   181.99927
  184.00000       -0.15212521     0.18310562   183.99924
  186.00000       -0.15835984     0.19060995   185.99919
  188.00000       -0.16459449     0.19811428   187.99916
  190.00000       -0.17082912     0.20561861   189.99913
  192.00000       -0.17706376     0.21312292   191.99910
  194.00000       -0.18329841     0.22062725   193.99907
  196.00000       -0.18953304     0.22813158   195.99904
  198.00000       -0.19576769     0.23563591   197.99901
  200.00000       -0.20200232     0.24314024   199.99898
  202.00000       -0.20823696     0.25064456   201.99895
  204.00000       -0.21447159     0.25814891   203.99890
  206.00000       -0.22070624     0.26565322   205.99887
  208.00000       -0.22694087     0.27315754   207.99884
  210.00000       -0.23317552     0.28066188   209.99881
  212.00000       -0.23941015     0.28816620   211.99878
  214.00000       -0.24564479     0.29567054   213.99875
  216.00000       -0.25187942     0.30317485   215.99872
  218.00000       -0.25811407     0.31067920   217.99869
  220.00000       -0.26434872     0.31818351   219.99866
  222.00000       -0.27339390     0.32907078   221.99860
  224.00000       -0.28665492     0.34503242   223.99849
  226.00000       -0.29991594     0.36099407   225.99838
  228.00000       -0.31317696     0.37695569   227.99828
  230.00000       -0.32643798     0.39291734   229.99817
  232.00000       -0.33969900     0.40887898   231.99806
  234.00000       -0.34619382     0.42744040   233.99796
  236.00000       -0.35193682     0.44629073   235.99785
  238.00000       -0.35767984     0.46514106   237.99774
  240.00000       -0.36342287     0.48399138   239.99765
  242.00000       -0.36916590     0.50284171   241.99754
  244.00000       -0.37490892     0.52169204   243.99744
  246.00000       -0.38065192     0.54054236   245.99733
  248.00000       -0.38639495     0.55939263   247.99724
  250.00000       -0.39213797     0.57824296   249.99713
  252.00000       -0.39788097     0.59709328   251.99702
  254.00000       -0.40362400     0.61594361   253.99692
  256.00000       -0.40936702     0.63479394   255.99683
  258.00000       -0.41511005     0.65364426   257.99670
  260.00000       -0.42085308     0.67249453   259.99661
  262.00000       -0.41763481     0.69453943   261.99643
  264.00000       -0.40097436     0.72137618   263.99619
  266.00000       -0.38431388     0.74821293   265.99591
  268.00000       -0.36765343     0.77504969   267.99564
  270.00000       -0.35099295     0.80188644   269.99536
  272.00000       -0.33433247     0.82872319   271.99509
  274.00000       -0.31767201     0.85555995   273.99484
  276.00000       -0.30101153     0.88239670   275.99457
  278.00000       -0.28435105     0.90923345   277.99429
  280.00000       -0.26769060     0.93607020   279.99402
  282.00000       -0.25103015     0.96290702   281.99374
  284.00000       -0.23436967     0.98974377   283.99347
  286.00000       -0.21770920     1.0165806    285.99323
  288.00000       -0.20104873     1.0434172    287.99295
  290.00000       -0.18438825     1.0702541    289.99268
  292.00000       -0.12850863     1.1165787    291.99121
  294.00000       -0.06827103     1.1650689    293.98962
  296.00000       -0.00803342     1.2135590    295.98804
  298.00000        0.05220416     1.2620492    297.98645
  300.00000        0.11244176     1.3105394    299.98486
  302.00000        0.17267938     1.3590295    301.98328
  304.00000        0.23291697     1.4075196    303.98169
  306.00000        0.29315460     1.4560097    305.98010
  308.00000        0.35339218     1.5044999    307.97852
  310.00000        0.41362977     1.5529901    309.97693
  312.00000        0.47386742     1.6014802    311.97534
  314.00000        0.53410500     1.6499704    313.97375
  316.00000        0.59434259     1.6984606    315.97217
  318.00000        0.65458018     1.7469507    317.97058
  320.00000        0.73938900     1.8041338    319.96759
  322.00000        0.86105555     1.8743564    321.96255
  324.00000        0.98272216     1.9445791    323.95755
  326.00000        1.1043887      2.0148017    325.95251
  328.00000        1.2260553      2.0850246    327.94748
  330.00000        1.3477218      2.1552472    329.94244
  332.00000        1.4693884      2.2254701    331.93741
  334.00000        1.5910549      2.2956927    333.93240
  336.00000        1.7127216      2.3659153    335.92737
  338.00000        1.8343880      2.4361382    337.92233
  340.00000        1.9560547      2.5063608    339.91730
  342.00000        2.0777211      2.5765834    341.91229
  344.00000        2.1993878      2.6468062    343.90726
  346.00000        2.3210542      2.7170289    345.90222
  348.00000        2.4427209      2.7872515    347.89719
  350.00000        2.6109540      2.8578918    349.88876
  352.00000        2.7843614      2.9285781    351.87994
  354.00000        2.9577689      2.9992647    353.87112
  356.00000        3.1311762      3.0699511    355.86230
  358.00000        3.3045835      3.1406376    357.85349
  360.00000        3.4779911      3.2113242    359.84467
  362.00000        3.6513984      3.2820106    361.83582
  364.00000        3.8248057      3.3526971    363.82700
  366.00000        3.9982133      3.4233837    365.81818
  368.00000        4.1716208      3.4940701    367.80936
  370.00000        4.3450279      3.5647566    369.80054
  372.00000        4.5184355      3.6354430    371.79172
  374.00000        4.6918430      3.7061296    373.78290
  376.00000        4.8652506      3.7768159    375.77408
  378.00000        5.0566397      3.8600259    377.76312
  380.00000        5.2500272      3.9446275    379.75192
  382.00000        5.4434147      4.0292292    381.74069
  384.00000        5.6368017      4.1138306    383.72949
  386.00000        5.8301892      4.1984320    385.71829
  388.00000        6.0235767      4.2830338    387.70709
  390.00000        6.2169638      4.3676353    389.69589
  392.00000        6.4103513      4.4522367    391.68469
  394.00000        6.6037388      4.5368385    393.67349
  396.00000        6.7971263      4.6214399    395.66229
  398.00000        6.9905138      4.7060413    397.65109
  400.00000        7.1839008      4.7906427    399.63989
  402.00000        7.3772883      4.8752446    401.62869
  404.00000        7.5706758      4.9598460    403.61749
  406.00000        7.7602062      5.0683274    405.60522
  408.00000        7.9439507      5.2126288    407.59137
  410.00000        8.1276951      5.3569303    409.57755
  412.00000        8.3114395      5.5012317    411.56369
  414.00000        8.4951839      5.6455336    413.54987
  416.00000        8.6789284      5.7898350    415.53604
  418.00000        8.8626738      5.9341364    417.52219
  420.00000        9.0464182      6.0784378    419.50836
  422.00000        9.2301626      6.2227392    421.49451
  424.00000        9.4139071      6.3670406    423.48068
  426.00000        9.5976515      6.5113420    425.46686
  428.00000        9.7813959      6.6556435    427.45300
  430.00000        9.9651403      6.7999449    429.43918
  432.00000       10.148886       6.9442468    431.42535
  434.00000       10.332630       7.0885482    433.41150
  436.00000       10.516375       7.2328496    435.39767
  438.00000       10.700119       7.3771510    437.38382
  440.00000       10.883863       7.5214524    439.37000
  442.00000       11.067608       7.6657543    441.35614
  444.00000       11.251352       7.8100557    443.34232
  446.00000       11.432285       7.9718876    445.32733
  448.00000       11.609000       8.1600170    447.31061
  450.00000       11.785715       8.3481455    449.29388
  452.00000       11.962429       8.5362749    451.27713
  454.00000       12.139144       8.7244043    453.26041
  456.00000       12.315859       8.9125338    455.24368
  458.00000       12.492573       9.1006622    457.22696
  460.00000       12.669288       9.2887917    459.21024
  462.00000       12.846003       9.4769211    461.19351
  464.00000       13.022717       9.6650505    463.17679
  466.00000       13.199431       9.8531799    465.16006
  468.00000       13.376146      10.041308     467.14334
  470.00000       13.552860      10.229438     469.12659
  472.00000       13.729575      10.417567     471.10986
  474.00000       13.906290      10.605696     473.09314
  476.00000       14.071398      10.792007     475.07755
  478.00000       14.235216      10.978117     477.06210
  480.00000       14.399035      11.164227     479.04666
  482.00000       14.562855      11.350337     481.03119
  484.00000       14.726673      11.536447     483.01575
  486.00000       14.890492      11.722556     485.00000
  488.00000       15.054311      11.908666     486.98483
  490.00000       15.218130      12.094776     488.96939
  492.00000       15.381948      12.280886     490.95395
  494.00000       15.545768      12.466995     492.93848
  496.00000       15.709586      12.653105     494.92303
  498.00000       15.873405      12.839214     496.90759
  500.00000       16.037224      13.025324     498.89212
  502.00000       16.201042      13.211434     500.87668
  504.00000       16.355291      13.389556     502.86267
  506.00000       16.495184      13.555695     504.85080
  508.00000       16.635078      13.721834     506.83896
  510.00000       16.774971      13.887973     508.82712
  512.00000       16.914864      14.054112     510.81525
  514.00000       17.054756      14.220251     512.80341
  516.00000       17.194651      14.386391     514.79156
  518.00000       17.334543      14.552529     516.77972
  520.00000       17.474436      14.718669     518.76788
  522.00000       17.614328      14.884808     520.75598
  524.00000       17.754223      15.050947     522.74414
  526.00000       17.894115      15.217086     524.73230
  528.00000       18.034008      15.383224     526.72046
  530.00000       18.173901      15.549364     528.70862
  532.00000       18.313793      15.715504     530.69678
  534.00000       18.445210      15.863981     532.68689
  536.00000       18.575684      16.010498     534.67725
  538.00000       18.706158      16.157013     536.66760
  540.00000       18.836632      16.303528     538.65790
  542.00000       18.967106      16.450043     540.64825
  544.00000       19.097580      16.596560     542.63861
  546.00000       19.228054      16.743074     544.62897
  548.00000       19.358530      16.889589     546.61932
  550.00000       19.489004      17.036106     548.60968
  552.00000       19.619478      17.182621     550.60004
  554.00000       19.749952      17.329136     552.59039
  556.00000       19.880426      17.475653     554.58075
  558.00000       20.010900      17.622168     556.57111
  560.00000       20.141375      17.768682     558.56146
  562.00000       20.270695      17.913092     560.55206
  564.00000       20.399889      18.057268     562.54266
  566.00000       20.529081      18.201445     564.53326
  568.00000       20.658274      18.345621     566.52386
  570.00000       20.787466      18.489798     568.51447
  572.00000       20.916660      18.633972     570.50507
  574.00000       21.045853      18.778149     572.49567
  576.00000       21.175045      18.922325     574.48627
  578.00000       21.304237      19.066502     576.47687
  580.00000       21.433432      19.210678     578.46753
  582.00000       21.562624      19.354853     580.45813
  584.00000       21.691816      19.499029     582.44873
  586.00000       21.821009      19.643206     584.43933
  588.00000       21.950203      19.787382     586.42993
  590.00000       22.082018      19.935928     588.42004
  592.00000       22.214128      20.084963     590.41016
  594.00000       22.346237      20.233995     592.40021
  596.00000       22.478346      20.383030     594.39026
  598.00000       22.610455      20.532064     596.38031
  600.00000       22.742563      20.681097     598.37036
  602.00000       22.874672      20.830132     600.36041
  604.00000       23.006781      20.979164     602.35046
  606.00000       23.138889      21.128199     604.34052
  608.00000       23.271000      21.277231     606.33057
  610.00000       23.403109      21.426266     608.32068
  612.00000       23.535217      21.575298     610.31073
  614.00000       23.667326      21.724333     612.30078
  616.00000       23.799435      21.873365     614.29083
  618.00000       23.931543      22.022400     616.28088
  620.00000       24.069510      22.173719     618.27039
  622.00000       24.208128      22.325294     620.25983
  624.00000       24.346745      22.476868     622.24921
  626.00000       24.485361      22.628443     624.23865
  628.00000       24.623978      22.780018     626.22809
  630.00000       24.762596      22.931591     628.21753
  632.00000       24.901213      23.083166     630.20691
  634.00000       25.039829      23.234739     632.19635
  636.00000       25.178448      23.386314     634.18579
  638.00000       25.317064      23.537889     636.17517
  640.00000       25.455681      23.689463     638.16461
  642.00000       25.594297      23.841038     640.15405
  644.00000       25.732916      23.992611     642.14349
  646.00000       25.871532      24.144186     644.13287
  648.00000       26.012613      24.295544     646.12213
  650.00000       26.157387      24.446575     648.11115
  652.00000       26.302160      24.597605     650.10022
  654.00000       26.446934      24.748636     652.08923
  656.00000       26.591707      24.899666     654.07825
  658.00000       26.736481      25.050697     656.06726
  660.00000       26.881254      25.201729     658.05627
  662.00000       27.026028      25.352758     660.04535
  664.00000       27.170801      25.503790     662.03436
  666.00000       27.315575      25.654821     664.02338
  668.00000       27.460348      25.805851     666.01239
  670.00000       27.605122      25.956882     668.00140
  672.00000       27.749895      26.107912     669.99048
  674.00000       27.894669      26.258944     671.97949
  676.00000       28.039442      26.409975     673.96851
  678.00000       28.170906      26.557978     675.95868
  680.00000       28.300892      26.705645     677.94891
  682.00000       28.430878      26.853312     679.93921
  684.00000       28.560863      27.000978     681.92950
  686.00000       28.690849      27.148645     683.91974
  688.00000       28.820835      27.296312     685.91003
  690.00000       28.950821      27.443979     687.90033
  692.00000       29.080807      27.591646     689.89056
  694.00000       29.210793      27.739313     691.88086
  696.00000       29.340778      27.886980     693.87115
  698.00000       29.470764      28.034647     695.86139
  700.00000       29.600750      28.182314     697.85168
  702.00000       29.730736      28.329981     699.84198
  704.00000       29.860722      28.477648     701.83221
  706.00000       29.983397      28.624752     703.82300
  708.00000       30.095104      28.771017     705.81451
  710.00000       30.206810      28.917282     707.80603
  712.00000       30.318516      29.063547     709.79755
  714.00000       30.430223      29.209812     711.78906
  716.00000       30.541929      29.356077     713.78058
  718.00000       30.653637      29.502342     715.77209
  720.00000       30.765343      29.648607     717.76361
  722.00000       30.877050      29.794872     719.75513
  724.00000       30.988756      29.941135     721.74664
  726.00000       31.100462      30.087400     723.73816
  728.00000       31.212170      30.233665     725.72968
  730.00000       31.323875      30.379930     727.72119
  732.00000       31.435583      30.526196     729.71271
  734.00000       31.547289      30.672461     731.70422
  736.00000       31.660221      30.818760     733.69568
  738.00000       31.773289      30.965063     735.68707
  740.00000       31.886356      31.111366     737.67853
  742.00000       31.999426      31.257669     739.66998
  744.00000       32.112492      31.403973     741.66138
  746.00000       32.225563      31.550274     743.65283
  748.00000       32.338631      31.696577     745.64429
  750.00000       32.451698      31.842880     747.63568
  752.00000       32.564766      31.989183     749.62714
  754.00000       32.677834      32.135487     751.61859
  756.00000       32.790901      32.281788     753.60999
  758.00000       32.903969      32.428093     755.60144
  760.00000       33.017040      32.574394     757.59290
  762.00000       33.130108      32.720699     759.58429
  764.00000       33.243176      32.867001     761.57574
  766.00000       33.358234      33.011150     763.56720
  768.00000       33.473518      33.155060     765.55872
