WELLNAME    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-9      2623        6467984.08  435038.52   2705.71     2704.42     1           325.65      6468022.02  435015.71   0.01
15/9-9      2623        6467984.08  435038.52   2715.77     2714.48     1           325.92      6468022.16  435015.61   0.01
15/9-9      2623        6467984.08  435038.52   2725.83     2724.54     1           326.19      6468022.31  435015.51   0.01
15/9-9      2623        6467984.08  435038.52   2735.88     2734.59     1           326.46      6468022.45  435015.42   0.01
15/9-9      2623        6467984.08  435038.52   2745.94     2744.64     1           326.73      6468022.6   435015.32   0.01
15/9-9      2623        6467984.08  435038.52   2756        2754.7      1           327         6468022.75  435015.22   0.01
15/9-9      2623        6467984.08  435038.52   2766.06     2764.76     1           331.37      6468022.9   435015.13   0.23
15/9-9      2623        6467984.08  435038.52   2776.12     2774.82     1           335.74      6468023.05  435015.06   0.23
15/9-9      2623        6467984.08  435038.52   2786.18     2784.88     1           340.11      6468023.22  435014.99   0.23
15/9-9      2623        6467984.08  435038.52   2796.23     2794.93     1           344.48      6468023.38  435014.94   0.23
15/9-9      2623        6467984.08  435038.52   2806.29     2804.99     1           348.84      6468023.55  435014.9    0.23
15/9-9      2623        6467984.08  435038.52   2816.35     2815.04     1           353.21      6468023.73  435014.87   0.23
15/9-9      2623        6467984.08  435038.52   2826.41     2825.1      1           357.58      6468023.9   435014.85   0.23
15/9-9      2623        6467984.08  435038.52   2836.47     2835.16     1           1.95        6468024.08  435014.85   0.23
15/9-9      2623        6467984.08  435038.52   2846.53     2845.22     1           6.32        6468024.25  435014.87   0.23
15/9-9      2623        6467984.08  435038.52   2856.58     2855.27     1.24        11.61       6468024.45  435014.9    0.78
15/9-9      2623        6467984.08  435038.52   2866.64     2865.32     2.87        22.04       6468024.79  435015.01   4.97
15/9-9      2623        6467984.08  435038.52   2876.7      2875.36     4.49        32.47       6468025.35  435015.32   5.21
15/9-9      2623        6467984.08  435038.52   2886.76     2885.38     5.38        40.77       6468026.04  435015.84   3.4
15/9-9      2623        6467984.08  435038.52   2896.82     2895.4      5.09        45.56       6468026.71  435016.47   1.56
15/9-9      2623        6467984.08  435038.52   2906.88     2905.42     4.8         50.36       6468027.29  435017.11   1.51
15/9-9      2623        6467984.08  435038.52   2916.94     2915.45     4.51        55.16       6468027.78  435017.76   1.45
15/9-9      2623        6467984.08  435038.52   2926.99     2925.47     4.22        59.96       6468028.19  435018.4    1.39
15/9-9      2623        6467984.08  435038.52   2937.05     2935.51     3.92        64.76       6468028.53  435019.03   1.35
15/9-9      2623        6467984.08  435038.52   2947.11     2945.54     3.63        69.56       6468028.78  435019.64   1.28
15/9-9      2623        6467984.08  435038.52   2957.17     2955.59     3.34        74.36       6468028.97  435020.22   1.23
15/9-9      2623        6467984.08  435038.52   2967.23     2965.63     3.05        79.15       6468029.1   435020.77   1.17
15/9-9      2623        6467984.08  435038.52   2977.29     2975.67     3.29        81.33       6468029.2   435021.31   0.8
15/9-9      2623        6467984.08  435038.52   2987.34     2985.71     3.65        82.92       6468029.28  435021.92   1.11
15/9-9      2623        6467984.08  435038.52   2997.4      2995.74     4.01        84.52       6468029.35  435022.58   1.12
15/9-9      2623        6467984.08  435038.52   3007.46     3005.78     4.37        86.11       6468029.41  435023.32   1.13
15/9-9      2623        6467984.08  435038.52   3017.52     3015.8      4.73        87.71       6468029.46  435024.11   1.14
15/9-9      2623        6467984.08  435038.52   3027.58     3025.83     5.09        89.3        6468029.48  435024.97   1.15
15/9-9      2623        6467984.08  435038.52   3037.64     3035.85     5.25        87.95       6468029.5   435025.88   0.6
