HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD         	Inc       	AZI    	TVD(RKB)   	TVDS       	X(m)        	y(m)        	NS          	EW          	DLS              	Vsec        	Lat                	Long
901.90  	0.35    	196.20    	901.88    	859.76    	434364.09   	6454779.99    	4.09        	2.69        	0.16        	2.24      	    58° 13' 40.608 N	     1° 52' 56.984 E	
930.80  	0.34    	218.68    	930.78    	888.66    	434364.01   	6454779.83    	3.94        	2.61        	0.14        	2.09      	    58° 13' 40.603 N	     1° 52' 56.980 E	
959.90  	0.57    	218.83    	959.87    	917.75    	434363.86   	6454779.65    	3.76        	2.46        	0.24        	1.91      	    58° 13' 40.597 N	     1° 52' 56.971 E	
989.00  	0.44    	213.48    	988.97    	946.85    	434363.71   	6454779.45    	3.55        	2.31        	0.14        	1.70      	    58° 13' 40.590 N	     1° 52' 56.962 E	
1018.30 	0.45    	195.15    	1018.27   	976.15    	434363.62   	6454779.24    	3.34        	2.22        	0.15        	1.49      	    58° 13' 40.584 N	     1° 52' 56.956 E	
1049.60 	0.35    	187.14    	1049.57   	1007.45   	434363.57   	6454779.03    	3.13        	2.18        	0.11        	1.28      	    58° 13' 40.577 N	     1° 52' 56.954 E	
1077.00 	0.03    	40.99     	1076.97   	1034.85   	434363.57   	6454778.95    	3.05        	2.17        	0.41        	1.20      	    58° 13' 40.574 N	     1° 52' 56.954 E	
1105.30 	0.40    	74.39     	1105.27   	1063.15   	434363.67   	6454778.98    	3.09        	2.27        	0.40        	1.24      	    58° 13' 40.575 N	     1° 52' 56.960 E	
1133.70 	0.48    	0.89      	1133.67   	1091.55   	434363.77   	6454779.13    	3.23        	2.37        	0.56        	1.38      	    58° 13' 40.580 N	     1° 52' 56.965 E	
1162.00 	0.46    	51.29     	1161.97   	1119.85   	434363.86   	6454779.32    	3.42        	2.46        	0.42        	1.57      	    58° 13' 40.586 N	     1° 52' 56.971 E	
1185.70 	0.38    	62.79     	1185.67   	1143.55   	434364.00   	6454779.41    	3.52        	2.60        	0.15        	1.67      	    58° 13' 40.589 N	     1° 52' 56.980 E	
1220.80 	0.66    	54.50     	1220.77   	1178.65   	434364.27   	6454779.59    	3.69        	2.87        	0.25        	1.84      	    58° 13' 40.595 N	     1° 52' 56.996 E	
1249.60 	0.55    	72.38     	1249.57   	1207.45   	434364.54   	6454779.72    	3.82        	3.14        	0.23        	1.97      	    58° 13' 40.600 N	     1° 52' 57.012 E	
1278.90 	0.40    	55.16     	1278.87   	1236.75   	434364.75   	6454779.82    	3.93        	3.35        	0.21        	2.08      	    58° 13' 40.603 N	     1° 52' 57.025 E	
1307.90 	0.58    	71.18     	1307.86   	1265.74   	434364.98   	6454779.93    	4.03        	3.58        	0.23        	2.18      	    58° 13' 40.606 N	     1° 52' 57.039 E	
1336.50 	0.48    	44.14     	1336.46   	1294.34   	434365.20   	6454780.06    	4.16        	3.80        	0.28        	2.31      	    58° 13' 40.611 N	     1° 52' 57.052 E	
1365.30 	0.40    	68.92     	1365.26   	1323.14   	434365.37   	6454780.19    	4.29        	3.97        	0.21        	2.44      	    58° 13' 40.615 N	     1° 52' 57.063 E	
1394.10 	0.62    	54.85     	1394.06   	1351.94   	434365.59   	6454780.31    	4.41        	4.20        	0.26        	2.56      	    58° 13' 40.619 N	     1° 52' 57.076 E	
1423.20 	0.74    	70.65     	1423.16   	1381.04   	434365.90   	6454780.46    	4.57        	4.50        	0.23        	2.72      	    58° 13' 40.624 N	     1° 52' 57.095 E	
1451.70 	0.70    	66.79     	1451.66   	1409.54   	434366.23   	6454780.59    	4.69        	4.84        	0.07        	2.84      	    58° 13' 40.629 N	     1° 52' 57.115 E	
1480.70 	0.68    	77.38     	1480.65   	1438.53   	434366.56   	6454780.70    	4.80        	5.17        	0.13        	2.95      	    58° 13' 40.632 N	     1° 52' 57.135 E	
1509.30 	0.57    	49.06     	1509.25   	1467.13   	434366.84   	6454780.83    	4.93        	5.44        	0.34        	3.08      	    58° 13' 40.637 N	     1° 52' 57.152 E	
1538.30 	0.53    	78.26     	1538.25   	1496.13   	434367.08   	6454780.95    	5.05        	5.68        	0.29        	3.20      	    58° 13' 40.641 N	     1° 52' 57.167 E	
1567.30 	0.55    	52.44     	1567.25   	1525.13   	434367.32   	6454781.06    	5.17        	5.92        	0.25        	3.32      	    58° 13' 40.644 N	     1° 52' 57.181 E	
1596.20 	0.75    	64.67     	1596.15   	1554.03   	434367.60   	6454781.23    	5.33        	6.20        	0.25        	3.48      	    58° 13' 40.650 N	     1° 52' 57.198 E	
1625.00 	0.59    	60.71     	1624.95   	1582.83   	434367.90   	6454781.38    	5.49        	6.50        	0.17        	3.64      	    58° 13' 40.655 N	     1° 52' 57.216 E	
1653.70 	0.53    	88.53     	1653.65   	1611.53   	434368.16   	6454781.46    	5.56        	6.76        	0.29        	3.71      	    58° 13' 40.658 N	     1° 52' 57.232 E	
1682.00 	0.57    	94.57     	1681.94   	1639.82   	434368.43   	6454781.45    	5.55        	7.03        	0.07        	3.70      	    58° 13' 40.657 N	     1° 52' 57.249 E	
1710.90 	0.57    	92.63     	1710.84   	1668.72   	434368.72   	6454781.43    	5.53        	7.32        	0.02        	3.68      	    58° 13' 40.657 N	     1° 52' 57.267 E	
1739.80 	0.39    	67.92     	1739.74   	1697.62   	434368.95   	6454781.46    	5.57        	7.56        	0.28        	3.72      	    58° 13' 40.658 N	     1° 52' 57.281 E	
1769.20 	0.69    	75.06     	1769.14   	1727.02   	434369.22   	6454781.55    	5.65        	7.82        	0.31        	3.80      	    58° 13' 40.661 N	     1° 52' 57.297 E	
1797.90 	0.62    	83.82     	1797.84   	1755.72   	434369.54   	6454781.61    	5.71        	8.14        	0.13        	3.86      	    58° 13' 40.663 N	     1° 52' 57.317 E	
1826.90 	0.74    	65.81     	1826.84   	1784.72   	434369.87   	6454781.70    	5.80        	8.47        	0.25        	3.95      	    58° 13' 40.666 N	     1° 52' 57.337 E	
1855.80 	0.80    	64.91     	1855.73   	1813.61   	434370.22   	6454781.86    	5.97        	8.82        	0.06        	4.12      	    58° 13' 40.672 N	     1° 52' 57.358 E	
1884.40 	0.93    	70.03     	1884.33   	1842.21   	434370.62   	6454782.03    	6.13        	9.22        	0.16        	4.28      	    58° 13' 40.677 N	     1° 52' 57.382 E	
1913.00 	0.74    	53.88     	1912.93   	1870.81   	434370.98   	6454782.22    	6.32        	9.59        	0.32        	4.47      	    58° 13' 40.684 N	     1° 52' 57.405 E	
1941.70 	0.96    	61.56     	1941.62   	1899.50   	434371.35   	6454782.44    	6.54        	9.95        	0.26        	4.69      	    58° 13' 40.691 N	     1° 52' 57.427 E	
1971.20 	0.81    	74.90     	1971.12   	1929.00   	434371.76   	6454782.61    	6.71        	10.37       	0.26        	4.86      	    58° 13' 40.697 N	     1° 52' 57.452 E	
2000.10 	0.79    	65.15     	2000.02   	1957.90   	434372.14   	6454782.75    	6.85        	10.75       	0.14        	5.00      	    58° 13' 40.701 N	     1° 52' 57.475 E	
2028.70 	1.00    	73.16     	2028.61   	1986.49   	434372.56   	6454782.90    	7.01        	11.16       	0.26        	5.16      	    58° 13' 40.707 N	     1° 52' 57.500 E	
2057.40 	1.13    	66.83     	2057.31   	2015.19   	434373.06   	6454783.09    	7.19        	11.66       	0.18        	5.34      	    58° 13' 40.713 N	     1° 52' 57.531 E	
2085.40 	1.10    	68.83     	2085.30   	2043.18   	434373.56   	6454783.29    	7.40        	12.17       	0.05        	5.55      	    58° 13' 40.720 N	     1° 52' 57.562 E	
2114.90 	1.09    	65.99     	2114.80   	2072.68   	434374.08   	6454783.51    	7.61        	12.69       	0.06        	5.76      	    58° 13' 40.727 N	     1° 52' 57.593 E	
2144.10 	1.18    	76.51     	2143.99   	2101.87   	434374.63   	6454783.69    	7.79        	13.23       	0.23        	5.94      	    58° 13' 40.733 N	     1° 52' 57.627 E	
2173.00 	1.14    	75.34     	2172.89   	2130.77   	434375.20   	6454783.83    	7.94        	13.80       	0.05        	6.09      	    58° 13' 40.738 N	     1° 52' 57.661 E	
2201.90 	0.75    	68.44     	2201.78   	2159.66   	434375.65   	6454783.98    	8.08        	14.26       	0.42        	6.23      	    58° 13' 40.743 N	     1° 52' 57.689 E	
2230.70 	0.50    	58.10     	2230.58   	2188.46   	434375.93   	6454784.11    	8.21        	14.54       	0.28        	6.36      	    58° 13' 40.748 N	     1° 52' 57.706 E	
2259.60 	0.61    	61.85     	2259.48   	2217.36   	434376.17   	6454784.25    	8.35        	14.78       	0.12        	6.50      	    58° 13' 40.752 N	     1° 52' 57.721 E	
2288.60 	0.51    	79.17     	2288.48   	2246.36   	434376.44   	6454784.35    	8.45        	15.04       	0.20        	6.60      	    58° 13' 40.755 N	     1° 52' 57.737 E	
