Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 meters and linearly interpolated between original survey points. Computed 2009-06-02

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	Talisman Energy Norway
FIELD:	EXPLORATION-UTM Zone 31
WELL NAME:	15/12-21 (Actual)
WELLBORE NAME:	15/12-21 (Actual)
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	127.72 m
SURVEYNAME:	15/12-21 (Actual)
SURVEYDATE:	20-04-2009
PRINTED DATE:	29-04-2009
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	434362.00m
SLOT NS MAP:	6454777.75m
SURFACE LATITUDE MAP:	58° 13' 40.534 N
SURFACE LONGITUDE  MAP:	1° 52' 56.859 E
BOTTOM HOLE MD:	3310.00 m
BOTTOM HOLE TVD:	3309.83 m
BOTTOM HOLE EW MAP:	434380.27m
BOTTOM HOLE NS MAP:	6454789.27m
----------------------------------------------------------------	
WATER DEPTH:	85.60 m
KB-MSL:	42.12 m
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	Zone 31N (0 E to 6 E)
NORTH REFERENCE:	Grid
GEO DATUM:	European 1950 - Mean
VSDIR:	360
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
H  135.20 - 200.10 15/12-21; 36" SDS.MWD+SAG : MWD+SAG+SCC
H  240.10 - 1185.70 15/12-21; 17½" SDS.MWD+SAG : MWD+SAG+SCC
H  1220.80 - 2865.40 15/12-21; 12¼" SDS.MWD+SAG : MWD+SAG+SCC
H  2894.50 - 3289.50 15/12-21; 8½" SDS.MWD+SAG : MWD+SAG+SCC
H  3310.00 - 3310.00 15/12-21; EXTRAPOLATION TO TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
                  MD                 Inc       	         AZI            TVD(RKB)                TVDS                X(m)                y(m)                  NS                  EW                 DLS                Vsec
              136.80                0.64               46.67              136.79               94.67           434362.04          6454777.79                1.89                0.64                2.27                0.04
              137.00                0.64               46.62              136.99               94.87           434362.04          6454777.79                1.89                0.64                2.23                0.04
              137.20                0.64               46.57              137.18               95.06           434362.05          6454777.80                1.90                0.65                2.19                0.05
              137.40                0.64               46.52              137.38               95.26           434362.05          6454777.80                1.90                0.65                2.15                0.05
              137.60                0.63               46.47              137.58               95.46           434362.05          6454777.80                1.90                0.65                2.11                0.05
              137.80                0.63               46.42              137.78               95.66           434362.05          6454777.80                1.90                0.65                2.07                0.05
              138.00                0.63               46.37              137.98               95.86           434362.05          6454777.80                1.90                0.65                2.03                0.05
              138.20                0.63               46.32              138.18               96.06           434362.05          6454777.80                1.90                0.65                2.00                0.05
              138.40                0.63               46.27              138.37               96.25           434362.05          6454777.80                1.90                0.65                1.96                0.05
              138.60                0.63               46.22              138.57               96.45           434362.06          6454777.81                1.91                0.66                1.92                0.06
              138.80                0.63               46.17              138.77               96.65           434362.06          6454777.81                1.91                0.66                1.88                0.06
              139.00                0.62               46.11              138.97               96.85           434362.06          6454777.81                1.91                0.66                1.84                0.06
              139.20                0.62               46.06              139.17               97.05           434362.06          6454777.81                1.91                0.66                1.80                0.06
              139.40                0.62               46.01              139.37               97.25           434362.06          6454777.81                1.91                0.66                1.76                0.06
              139.60                0.62               45.96              139.56               97.44           434362.06          6454777.81                1.91                0.66                1.72                0.06
              139.80                0.62               45.91              139.76               97.64           434362.06          6454777.81                1.91                0.66                1.68                0.06
              140.00                0.62               45.86              139.96               97.84           434362.07          6454777.82                1.92                0.67                1.64                0.07
              140.20                0.62               45.81              140.16               98.04           434362.07          6454777.82                1.92                0.67                1.60                0.07
              140.40                0.62               45.76              140.36               98.24           434362.07          6454777.82                1.92                0.67                1.56                0.07
              140.60                0.61               45.71              140.56               98.44           434362.07          6454777.82                1.92                0.67                1.52                0.07
              140.80                0.61               45.66              140.75               98.63           434362.07          6454777.82                1.92                0.67                1.48                0.07
