  Well: 15/12-4
   UWI: 6211
 Units: m
    TD: 3140 m
LNGTDE: 1.903225
LATTDE: 58.05254444

     depth   inc      azi

     110       0       0
     336     0.5     208
     514    0.25     289
     543     0.5       9
     641    0.25     295
     746     0.5      29
     862    0.25      26
     968     0.5     189
    1073       1     190
    1179     0.5       0
    1294       1      79
    1399       1      49
    1505       1      60
    1614       1      20
    1722       1      21
    2419       1      34
    2570    0.25     323
    2606     0.5      40
    2674       1      10
    2688       1      19
    2726       1      10
    2785       1      16
    2840       2       0
    3140       2      36


Depth Mode          :  TVD
Depth Unit          :  International meters
Distance Unit       :  meters

UWI: 6211                      
Common: 15/12-4                                                                         
Measr. Depth    TVD Depth     X-Offset     Y-Offset
       259.000      258.998       -0.305       -0.574
       260.000      259.998       -0.307       -0.578
       261.000      260.998       -0.309       -0.582
       262.000      261.998       -0.311       -0.586
       263.000      262.998       -0.313       -0.589
       264.000      263.998       -0.315       -0.593
       265.000      264.998       -0.318       -0.597
       266.000      265.998       -0.320       -0.601
       267.000      266.998       -0.322       -0.605
       268.000      267.998       -0.324       -0.609
       269.000      268.998       -0.326       -0.613
       270.000      269.998       -0.328       -0.616
       271.000      270.998       -0.330       -0.620
       272.000      271.998       -0.332       -0.624
       273.000      272.998       -0.334       -0.628
       274.000      273.998       -0.336       -0.632
       275.000      274.998       -0.338       -0.636
       276.000      275.998       -0.340       -0.640
       277.000      276.998       -0.342       -0.643
       278.000      277.998       -0.344       -0.647
       279.000      278.998       -0.346       -0.651
       280.000      279.998       -0.348       -0.655
       281.000      280.998       -0.350       -0.659
       282.000      281.998       -0.352       -0.663
       283.000      282.998       -0.354       -0.667
       284.000      283.998       -0.356       -0.670
       285.000      284.998       -0.358       -0.674
       286.000      285.998       -0.361       -0.678
       287.000      286.998       -0.363       -0.682
       288.000      287.998       -0.365       -0.686
       289.000      288.998       -0.367       -0.690
       290.000      289.998       -0.369       -0.693
       291.000      290.998       -0.371       -0.697
       292.000      291.998       -0.373       -0.701
       293.000      292.998       -0.375       -0.705
       294.000      293.998       -0.377       -0.709
       295.000      294.998       -0.379       -0.713
       296.000      295.998       -0.381       -0.717
       297.000      296.998       -0.383       -0.720
       298.000      297.998       -0.385       -0.724
       299.000      298.998       -0.387       -0.728
       300.000      299.998       -0.389       -0.732
       301.000      300.998       -0.391       -0.736
       302.000      301.998       -0.393       -0.740
       303.000      302.998       -0.395       -0.744
       304.000      303.998       -0.397       -0.747
