Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2m and
linearly interpolated between original survey points. Computed 2008-08-22.

HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	BG Group
FIELD:	EXPLORATION - UTM Zone 31
WELL NAME:	15/12-19
WELLBORE NAME:	15/12-19
Drilled From:   Well Ref. Point
KICK OFF DEPTH: N/Am 
SURVEYNAME:     Definitive
SURVEYDATE:     2008-04-21
----------------------------------------------------------------	
CALCULATION METHOD: Minimum Curvature
DATUM NAME:         RKB@42.52
LAT REFERENCE:      Site
----------------------------------------------------------------	
SLOT EW MAP: 436239.01m
SLOT NS MAP: 6429787.29m
SURFACE LATITUDE MAP:   58°00'13.643N
SURFACE LONGITUDE  MAP: 001°55'16.368E
BOTTOM HOLE MD:  3212.00m 
BOTTOM HOLE TVD: 3211.35m 
BOTTOM HOLE EW MAP: 436244.60m
BOTTOM HOLE NS MAP: 6429796.98m
----------------------------------------------------------------	
WATER DEPTH:  85.00m 
KB-MSL:       42.52m 
SYSTEM DATUM: Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE: UTM Zone 31, North 0 to 6E
NORTH REFERENCE: Grid
GEO DATUM: ED50 (International 1924)
VSDIR: 0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
235.80    - 654.00    15_12-19; 24'' MWD+SAG+SCC : MWD+SAG+SCC
668.60    - 1336.10   15_12-19; 17½" MWD+SAG+SCC : MWD+SAG+SCC
1364.00   - 2888.80   15_12-19; 12¼" MWD+SAG+SCC : MWD+SAG+SCC
2928.10   - 3188.60   15_12-19;  8½" MWD+SAG+SCC : MWD+SAG+SCC
3212.00   - 3212.00   15_12-19; Projection to TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD           Inc          AZI          TVD(RKB)     TVDS         X(m)         y(m)         NS           EW           DLS          Vsec
137.40       0.08         47.41        137.33       94.81        436238.98    6429787.32   0.03         -0.03        0.04         0.03
137.60       0.08         48.41        137.53       95.01        436238.98    6429787.32   0.03         -0.03        0.04         0.03
137.80       0.08         49.42        137.73       95.21        436238.98    6429787.32   0.03         -0.03        0.04         0.03
138.00       0.08         50.43        137.93       95.41        436238.98    6429787.32   0.03         -0.03        0.04         0.03
138.20       0.08         51.44        138.13       95.61        436238.98    6429787.32   0.03         -0.03        0.04         0.03
138.40       0.09         52.45        138.33       95.81        436238.98    6429787.32   0.03         -0.03        0.04         0.03
138.60       0.09         53.46        138.53       96.01        436238.98    6429787.32   0.03         -0.03        0.04         0.03
138.80       0.09         54.47        138.73       96.21        436238.98    6429787.32   0.03         -0.03        0.04         0.03
139.00       0.09         55.47        138.93       96.41        436238.97    6429787.33   0.03         -0.04        0.04         0.03
139.20       0.09         56.48        139.13       96.61        436238.97    6429787.33   0.03         -0.04        0.05         0.03
139.40       0.09         57.49        139.33       96.81        436238.97    6429787.33   0.03         -0.04        0.05         0.03
139.60       0.10         58.50        139.53       97.01        436238.97    6429787.33   0.04         -0.04        0.05         0.04
139.80       0.10         59.51        139.74       97.22        436238.97    6429787.33   0.04         -0.04        0.05         0.04
140.00       0.10         60.52        139.94       97.42        436238.97    6429787.33   0.04         -0.04        0.05         0.04
140.20       0.10         61.53        140.14       97.62        436238.97    6429787.33   0.04         -0.04        0.05         0.04
140.40       0.10         62.53        140.34       97.82        436238.97    6429787.33   0.04         -0.04        0.05         0.04
140.60       0.10         63.54        140.54       98.02        436238.97    6429787.33   0.04         -0.04        0.05         0.04
140.80       0.10         64.55        140.74       98.22        436238.97    6429787.33   0.04         -0.04        0.05         0.04
141.00       0.11         65.56        140.94       98.42        436238.97    6429787.33   0.04         -0.04        0.05         0.04
