HEADER INFORMATION	
----------------------------------------------------------------	
COMPANY:	BG Group
FIELD:	EXPLORATION - UTM Zone 31
WELL NAME:	15/12-19
WELLBORE NAME:	15/12-19
Drilled From	: Well Ref. Point
KICK OFF DEPTH:	N/Am 
SURVEYNAME:	Definitive
SURVEYDATE:	2008-04-21
PRINTED DATE:	2008-04-22
----------------------------------------------------------------	
CALCULATION METHOD:	Minimum Curvature
DATUM NAME:	RKB@42.52
LAT REFERENCE:	Site
----------------------------------------------------------------	
SLOT EW MAP:	436239.01m
SLOT NS MAP:	6429787.29m
SURFACE LATITUDE MAP:	58°00'13.643N
SURFACE LONGITUDE  MAP:	001°55'16.368E
BOTTOM HOLE MD:	3212.00m 
BOTTOM HOLE TVD:	3211.35m 
BOTTOM HOLE EW MAP:	436244.60m
BOTTOM HOLE NS MAP:	6429796.98m
----------------------------------------------------------------	
WATER DEPTH:	85.00m 
KB-MSL:	42.52m 
SYSTEM DATUM:	Mean Sea Level
----------------------------------------------------------------	
MAP-ZONE:	UTM Zone 31, North 0 to 6E
NORTH REFERENCE:	Grid
GEO DATUM:	ED50 (International 1924)
VSDIR:	0
----------------------------------------------------------------	
SURVEY TYPE INFORMATION
235.80    - 654.00    15_12-19; 24'' MWD+SAG+SCC : MWD+SAG+SCC
668.60    - 1336.10   15_12-19; 17½" MWD+SAG+SCC : MWD+SAG+SCC
1364.00   - 2888.80   15_12-19; 12¼" MWD+SAG+SCC : MWD+SAG+SCC
2928.10   - 3188.60   15_12-19; 8½" MWD+SAG+SCC : MWD+SAG+SCC
3212.00   - 3212.00   15_12-19; Projection to TD : BLIND

----------------------------------------------------------------	
SURVEY LIST	
MD          Inc        AZI         	TVD(RKB)   	TVDS     	X(m)        	y(m)        	NS          	EW     		DLS               Vsec        Lat              	Long
842.10  	0.20    	53.48     	841.83    	799.31    	436239.32   	6429772.78    	-14.52      	0.31        	0.14        	-14.52    	58°00'13.174N	001°55'16.401E	
871.20  	0.64    	62.09     	870.92    	828.40    	436239.50   	6429772.89    	-14.41      	0.49        	0.46        	-14.41    	58°00'13.177N	001°55'16.413E	
899.90  	0.57    	62.16     	899.62    	857.10    	436239.77   	6429773.03    	-14.27      	0.76        	0.07        	-14.27    	58°00'13.182N	001°55'16.429E	
928.90  	0.66    	67.91     	928.62    	886.10    	436240.05   	6429773.16    	-14.14      	1.04        	0.11        	-14.14    	58°00'13.186N	001°55'16.446E	
958.10  	0.69    	68.27     	957.82    	915.30    	436240.37   	6429773.29    	-14.01      	1.36        	0.03        	-14.01    	58°00'13.191N	001°55'16.465E	
987.50  	0.93    	70.43     	987.22    	944.70    	436240.76   	6429773.43    	-13.87      	1.75        	0.25        	-13.87    	58°00'13.195N	001°55'16.489E	
1016.50 	1.00    	75.82     	1016.21   	973.69    	436241.23   	6429773.57    	-13.72      	2.22        	0.12        	-13.72    	58°00'13.200N	001°55'16.517E	
1045.10 	1.27    	58.62     	1044.81   	1002.29   	436241.74   	6429773.80    	-13.50      	2.73        	0.45        	-13.50    	58°00'13.208N	001°55'16.548E	
1074.10 	0.86    	75.78     	1073.80   	1031.28   	436242.22   	6429774.02    	-13.28      	3.22        	0.53        	-13.28    	58°00'13.215N	001°55'16.577E	
1102.90 	0.47    	20.82     	1102.60   	1060.08   	436242.47   	6429774.18    	-13.11      	3.47        	0.73        	-13.11    	58°00'13.221N	001°55'16.592E	
1131.80 	0.59    	22.39     	1131.50   	1088.98   	436242.57   	6429774.43    	-12.87      	3.57        	0.13        	-12.87    	58°00'13.229N	001°55'16.598E	
1160.30 	0.45    	10.53     	1160.00   	1117.48   	436242.65   	6429774.68    	-12.62      	3.64        	0.19        	-12.62    	58°00'13.237N	001°55'16.603E	
1189.50 	0.31    	23.57     	1189.20   	1146.68   	436242.70   	6429774.86    	-12.43      	3.70        	0.17        	-12.43    	58°00'13.243N	001°55'16.606E	
1218.80 	0.50    	29.79     	1218.50   	1175.98   	436242.80   	6429775.05    	-12.25      	3.79        	0.20        	-12.25    	58°00'13.249N	001°55'16.611E	
1247.30 	0.49    	16.75     	1246.99   	1204.47   	436242.89   	6429775.27    	-12.03      	3.89        	0.12        	-12.03    	58°00'13.256N	001°55'16.617E	
1276.60 	0.47    	42.12     	1276.29   	1233.77   	436243.01   	6429775.48    	-11.82      	4.01        	0.22        	-11.82    	58°00'13.263N	001°55'16.624E	
1305.30 	0.41    	24.71     	1304.99   	1262.47   	436243.13   	6429775.66    	-11.64      	4.13        	0.15        	-11.64    	58°00'13.269N	001°55'16.631E	
1336.10 	0.62    	43.88     	1335.79   	1293.27   	436243.29   	6429775.88    	-11.42      	4.29        	0.26        	-11.42    	58°00'13.276N	001°55'16.641E	
1364.00 	0.75    	44.01     	1363.69   	1321.17   	436243.53   	6429776.12    	-11.18      	4.52        	0.14        	-11.18    	58°00'13.284N	001°55'16.654E	
1392.00 	0.80    	53.09     	1391.69   	1349.17   	436243.81   	6429776.37    	-10.93      	4.80        	0.14        	-10.93    	58°00'13.292N	001°55'16.672E	
1421.80 	0.31    	343.75    	1421.49   	1378.97   	436243.95   	6429776.57    	-10.73      	4.95        	0.75        	-10.73    	58°00'13.299N	001°55'16.680E	
1450.80 	0.37    	255.73    	1450.49   	1407.97   	436243.84   	6429776.62    	-10.67      	4.83        	0.49        	-10.67    	58°00'13.300N	001°55'16.673E	
