WellnameUWN     UTM North UTM EastMD      TVD     DEVIATION AZIMUTH NORTH   EAST    DOGLEG
15/9-12     2626 6480390.26  425175  2438.8 2438.08      0.75      18 6480400 425200.7    0.25
15/9-12     2626 6480390.26  425175  2467.4 2466.68      1.13      34 6480401 425200.9    0.48
15/9-12     2626 6480390.26  425175  2496.1 2495.38      0.72      66 6480401 425201.3    0.68
15/9-12     2626 6480390.26  425175    2525 2524.27      0.92      79 6480401 425201.7    0.28
15/9-12     2626 6480390.26  425175  2553.5 2552.77      0.67     106 6480401  425202    0.47
15/9-12     2626 6480390.26  425175  2582.3 2581.57      0.83     121 6480401 425202.4    0.27
15/9-12     2626 6480390.26  425175    2611 2610.27      0.75     118 6480401 425202.7     0.1
15/9-12     2626 6480390.26  425175  2639.7 2638.96      0.67     131 6480400  425203    0.19
15/9-12     2626 6480390.26  425175  2668.4 2667.66      0.42     145 6480400 425203.2    0.29
15/9-12     2626 6480390.26  425175  2696.8 2696.06      0.75     109 6480400 425203.4    0.51
15/9-12     2626 6480390.26  425175  2724.4 2723.66      0.58     128 6480400 425203.7     0.3
15/9-12     2626 6480390.26  425175  2752.2 2751.46      0.53     119 6480400 425203.9    0.11
15/9-12     2626 6480390.26  425175  2767.2 2766.46      0.42     110 6480400  425204    0.27
15/9-12     2626 6480390.26  425175 2786.66 2785.92      0.33      54 6480400 425204.1    0.56
15/9-12     2626 6480390.26  425175 2815.05 2814.31      0.42      68 6480400 425204.3    0.13
15/9-12     2626 6480390.26  425175 2843.42 2842.68      0.43      64 6480400 425204.5    0.03
15/9-12     2626 6480390.26  425175 2871.79 2871.05      0.45      79 6480400 425204.7    0.12
15/9-12     2626 6480390.26  425175 2900.17 2899.43      0.45      47 6480400 425204.9    0.26
15/9-12     2626 6480390.26  425175 2928.54 2927.79      0.42      40 6480400 425205.1    0.07
15/9-12     2626 6480390.26  425175 2956.92 2956.17       0.5      30 6480400 425205.2    0.12
15/9-12     2626 6480390.26  425175  2985.3 2984.55      0.88      52 6480401 425205.4    0.49
15/9-12     2626 6480390.26  425175 3013.67 3012.92       0.5      44 6480401 425205.7    0.42
15/9-12     2626 6480390.26  425175 3042.05  3041.3      0.25      39 6480401 425205.8    0.27
15/9-12     2626 6480390.26  425175 3070.43 3069.68       0.3      39 6480401 425205.9    0.05
15/9-12     2626 6480390.26  425175  3098.8 3098.05      0.42      20 6480401  425206    0.17
15/9-12     2626 6480390.26  425175 3127.18 3126.43       0.5      15 6480401 425206.1     0.1
15/9-12     2626 6480390.26  425175 3155.55  3154.8      0.75      19 6480402 425206.2    0.27
15/9-12     2626 6480390.26  425175 3183.93 3183.17       0.5      12 6480402 425206.2    0.28
15/9-12     2626 6480390.26  425175 3212.31 3211.55      0.75      20 6480402 425206.3    0.28
15/9-12     2626 6480390.26  425175 3240.68 3239.92      0.97      23 6480403 425206.5    0.23
15/9-12     2626 6480390.26  425175 3269.06  3268.3      0.45       4 6480403 425206.6    0.59
15/9-12     2626 6480390.26  425175 3297.44 3296.68      0.25       8 6480403 425206.6    0.21
15/9-12     2626 6480390.26  425175 3325.81 3325.05       0.5      18 6480403 425206.7    0.27
15/9-12     2626 6480390.26  425175 3354.19 3353.42      0.77     343 6480404 425206.7    0.48
15/9-12     2626 6480390.26  425175 3382.56 3381.79      0.82     342 6480404 425206.6    0.05
15/9-12     2626 6480390.26  425175 3410.94 3410.17      0.58     322 6480404 425206.4    0.35
15/9-12     2626 6480390.26  425175 3439.32 3438.55      0.77     327 6480405 425206.2     0.2
15/9-12     2626 6480390.26  425175 3467.69 3466.91         1     344 6480405 425206.1    0.37
15/9-12     2626 6480390.26  425175 3496.07 3495.29      0.92      11 6480405  425206    0.48
15/9-12     2626 6480390.26  425175 3524.45 3523.67      1.05       4 6480406 425206.1    0.19
15/9-12     2626 6480390.26  425175 3552.82 3552.03      1.12       9 6480407 425206.2    0.12
15/9-12     2626 6480390.26  425175  3581.2 3580.41         1      17 6480407 425206.3     0.2
15/9-12     2626 6480390.26  425175 3609.57 3608.77      1.18      17 6480407 425206.5    0.19
15/9-12     2626 6480390.26  425175 3637.95 3637.15      1.25      16 6480408 425206.7    0.08
15/9-12     2626 6480390.26  425175 3666.33 3665.52      0.97       9 6480409 425206.8    0.33
15/9-12     2626 6480390.26  425175  3694.7 3693.89         1      20 6480409 425206.9     0.2
15/9-12     2626 6480390.26  425175 3723.08 3722.26         1      38 6480410 425207.2    0.33
15/9-12     2626 6480390.26  425175 3734.58 3733.76      1.17      33 6480410 425207.3    0.49
