Wellname           UWN                UTMnorth           UTMeast            MeasDepth(m)       MeasTVD(m)         Dip                Azimuth            Location(NS)       Location(EW)       Dogleg
15/3-3             1864               6526963.86         429625.8           133                133                0                  0                  6526963.86         429625.8           0
15/3-3             1864               6526963.86         429625.8           997                996.97             1                  48                 6526970.29         429629.74          0
15/3-3             1864               6526963.86         429625.8           1104               1103.95            1.27               53                 6526971.41         429631.53          0
15/3-3             1864               6526963.86         429625.8           1337               1336.9             1                  44                 6526973.99         429635.35          0
15/3-3             1864               6526963.86         429625.8           1545               1544.84            1.7                56                 6526976.62         429639.49          0
15/3-3             1864               6526963.86         429625.8           1610               1609.81            1.67               55                 6526977.49         429641.19          0
15/3-3             1864               6526963.86         429625.8           1935               1934.5             3.37               47                 6526984.94         429653.36          0
15/3-3             1864               6526963.86         429625.8           1985               1984.41            3.58               46                 6526986.72         429655.81          0
15/3-3             1864               6526963.86         429625.8           2090               2089.24            3                  44                 6526990.4          429660.59          0
15/3-3             1864               6526963.86         429625.8           2169               2168.14            2.67               35                 6526993.06         429663.45          0
15/3-3             1864               6526963.86         429625.8           2219               2218.1             2                  45                 6526994.43         429664.95          0
15/3-3             1864               6526963.86         429625.8           2273               2272.06            2.33               55                 6526995.53         429666.67          0
15/3-3             1864               6526963.86         429625.8           2323               2322.03            1.83               65                 6526996.23         429668.35          0
15/3-3             1864               6526963.86         429625.8           2352               2351.02            1.33               64                 6526996.47         429669.11          0
15/3-3             1864               6526963.86         429625.8           2397               2396               1.67               64                 6526996.85         429670.23          0
15/3-3             1864               6526963.86         429625.8           2477               2475.97            1.67               65                 6526997.57         429672.44          0
15/3-3             1864               6526963.86         429625.8           2583               2581.91            1.92               67                 6526998.51         429675.62          0
15/3-3             1864               6526963.86         429625.8           2642               2640.88            2                  69                 6526999.01         429677.57          0
15/3-3             1864               6526963.86         429625.8           2740               2738.81            2.33               71                 6526999.81         429681.19          0
15/3-3             1864               6526963.86         429625.8           2858               2856.75            1.2                63                 6527000.79         429684.69          0
15/3-3             1864               6526963.86         429625.8           2903               2901.74            1.5                47                 6527001.28         429685.63          0
15/3-3             1864               6526963.86         429625.8           2965               2963.73            1.07               66                 6527001.88         429686.88          0
15/3-3             1864               6526963.86         429625.8           3057               3055.7             1.42               62                 6527002.52         429688.77          0
15/3-3             1864               6526963.86         429625.8           3161               3159.66            1.83               100                6527002.59         429691.72          0
15/3-3             1864               6526963.86         429625.8           3277               3275.59            2.17               137                6527000.22         429695             0
15/3-3             1864               6526963.86         429625.8           3382               3380.52            2                  157                6526996.77         429696.64          0
15/3-3             1864               6526963.86         429625.8           3498               3496.44            2.37               175                6526992.38         429697.14          0
15/3-3             1864               6526963.86         429625.8           3604               3602.36            2.12               179                6526988.25         429696.81          0
15/3-3             1864               6526963.86         429625.8           3710               3708.29            2                  184                6526984.49         429696.22          0
15/3-3             1864               6526963.86         429625.8           3829               3827.24            1.25               232                6526981.74         429694.26          0
15/3-3             1864               6526963.86         429625.8           3970               3968.2             1.45               172                6526978.85         429692.62          0
15/3-3             1864               6526963.86         429625.8           4154               4152.15            1.25               158                6526974.55         429693.19          0
15/3-3             1864               6526963.86         429625.8           4262               4260.13            1                  136                6526972.64         429694.1           0
15/3-3             1864               6526963.86         429625.8           4390               4388.11            1                  148                6526970.71         429695.24          0
15/3-3             1864               6526963.86         429625.8           4475               4473.1             0.42               198                6526969.66         429695.23          0
15/3-3             1864               6526963.86         429625.8           4754               4752               2.75               272                6526966.1          429688.39          0
15/3-3             1864               6526963.86         429625.8           4821               4818.93            2.25               252                6526966.07         429685.47          0
15/3-3             1864               6526963.86         429625.8           4911               4908.84            3                  257                6526965.5          429681.39          0
15/3-3             1864               6526963.86         429625.8           4962               4959.75            3.75               253                6526965.11         429678.41          0
15/3-3             1864               6526963.86         429625.8           5111               5108.37            4.4                250                6526964.63         429668.01          0
