WELLNAME    UWN         UTM NORTH   UTM EAST    MD          TVD         DEVIATION   AZIMUTH     NORTH       EAST        DOGLEG
15/9-5              1876  6474503.53   424497.43         133         133           0           0  6474503.53   424497.43           0
15/9-5              1876  6474503.53   424497.43        1266        1266           0           0  6474503.53   424497.43           0
15/9-5              1876  6474503.53   424497.43        1363        1363        0.25        43.1  6474503.69   424497.58        0.08
15/9-5              1876  6474503.53   424497.43        1459        1459        0.75       327.1  6474504.37   424497.38        0.23
15/9-5              1876  6474503.53   424497.43        1565     1564.99           1        86.1  6474505.01   424497.92        0.43
15/9-5              1876  6474503.53   424497.43        1660     1659.95        2.25        80.1  6474505.39   424500.59         0.4
15/9-5              1876  6474503.53   424497.43        1767     1766.89        1.75        57.1  6474506.64   424504.03        0.26
15/9-5              1876  6474503.53   424497.43        1863     1862.83        2.25        65.1  6474508.23   424506.97        0.18
15/9-5              1876  6474503.53   424497.43        1928     1927.79        1.75        99.1  6474508.61    424509.1        0.58
15/9-5              1876  6474503.53   424497.43        2017     2016.75         1.5        88.1  6474508.43   424511.61        0.13
15/9-5              1876  6474503.53   424497.43        2124     2123.73        1.25        48.1  6474509.26   424513.87        0.27
15/9-5              1876  6474503.53   424497.43        2220     2219.71         1.5       263.1   6474509.8   424513.41        0.82
15/9-5              1876  6474503.53   424497.43        2287      2286.7           1       297.1  6474509.96   424512.02        0.39
15/9-5              1876  6474503.53   424497.43        2384     2383.69         0.5       288.1  6474510.48   424510.86        0.16
15/9-5              1876  6474503.53   424497.43        2490     2489.68        0.75       282.1  6474510.77   424509.74        0.07
15/9-5              1876  6474503.53   424497.43        2545     2544.68         0.5       339.1  6474511.07   424509.31        0.35
15/9-5              1876  6474503.53   424497.43        2654     2653.68        0.75       306.1  6474511.93   424508.56        0.12
15/9-5              1876  6474503.53   424497.43        2704     2703.67        0.25        31.1  6474512.22   424508.35        0.46
15/9-5              1876  6474503.53   424497.43        2783     2782.67           0         1.1  6474512.37   424508.44        0.09
15/9-5              1876  6474503.53   424497.43        2985     2984.66           1       326.1  6474513.83   424507.46        0.15
15/9-5              1876  6474503.53   424497.43        3181     3180.63           1       320.1  6474516.56   424505.41        0.02
15/9-5              1876  6474503.53   424497.43        3304     3303.62        0.75       332.1   6474518.1   424504.34        0.08
15/9-5              1876  6474503.53   424497.43        3419     3418.61        0.75       347.1  6474519.49   424503.82        0.05
15/9-5              1876  6474503.53   424497.43        3520     3519.61        0.25       194.1  6474519.92   424503.62        0.29
15/9-5              1876  6474503.53   424497.43        3630     3629.61        0.25       154.1  6474519.48   424503.67        0.05
15/9-5              1876  6474503.53   424497.43        3684      3683.6           1       179.1   6474518.9   424503.73        0.43
15/9-5              1876  6474503.53   424497.43        3946     3945.56           1       179.1  6474514.33    424503.8           0
