Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 
meters and linearly interpolated between original survey points. Computed 
2011-08-31

HEADER INFORMATION 
----------------------------------------------------------------
COMPANY: STATOIL NORWAY
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 15/6-12
WELLBORE NAME: 15/6-12 McHenry
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 15/6-12 McHenry
Survey Date: 16.02.2011
Extraction Date: 12.08.2011
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: WELL
LAT Reference: Site
----------------------------------------------------------------
Slot EW Map: 426697.000m
Slot NS Map: 6499708.000m
Surface Latitude Map: 58° 37' 48.515 N
Surface Longitude Map: 1° 44' 15.483 E
Bottom Hole MD: 3930.00m
Bottom Hole TVD: 3929.65m
Bottom Hole EW Map: 426694.704m
Bottom Hole NS Map: 6499691.286m
----------------------------------------------------------------
Water Depth: 115.50m
KB-WH: 23.50m
KB-MSL: 23.50m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
VSDIR: 360
----------------------------------------------------------------
SURVEY LIST
MD             Inc            Azim           TVD            X-Offset (E/W) Y-Offset (N/S) UTM E/W        UTM N/S        DLS
m RKB          deg            deg            m RKB          m              m              m              m              deg/30m
12.80          0.00           33.15          12.80          0.000          0.000          426697.000     6499708.000    0.00
13.00          0.00           33.67          13.00          0.000          0.000          426697.000     6499708.000    0.00
13.20          0.00           34.19          13.20          0.000          0.000          426697.000     6499708.000    0.00
13.40          0.00           34.71          13.40          0.000          0.000          426697.000     6499708.000    0.00
13.60          0.00           35.22          13.60          0.000          0.000          426697.000     6499708.000    0.00
13.80          0.00           35.74          13.80          0.000          0.000          426697.000     6499708.000    0.00
14.00          0.00           36.26          14.00          0.000          0.000          426697.000     6499708.000    0.00
14.20          0.00           36.78          14.20          0.000          0.000          426697.000     6499708.000    0.00
14.40          0.00           37.29          14.40          0.000          0.000          426697.000     6499708.000    0.00
14.60          0.00           37.81          14.60          0.000          0.000          426697.000     6499708.000    0.00
14.80          0.00           38.33          14.80          0.000          0.000          426697.000     6499708.000    0.00
15.00          0.00           38.85          15.00          0.000          0.000          426697.000     6499708.000    0.00
15.20          0.00           39.37          15.20          0.000          0.000          426697.000     6499708.000    0.00
15.40          0.00           39.88          15.40          0.000          0.000          426697.000     6499708.000    0.00
15.60          0.00           40.40          15.60          0.000          0.000          426697.000     6499708.000    0.00
15.80          0.00           40.92          15.80          0.000          0.000          426697.000     6499708.000    0.00
16.00          0.00           41.44          16.00          0.000          0.000          426697.000     6499708.000    0.00
16.20          0.00           41.96          16.20          0.000          0.000          426697.000     6499708.000    0.00
16.40          0.00           42.47          16.40          0.000          0.000          426697.000     6499708.000    0.00
16.60          0.00           42.99          16.60          0.000          0.000          426697.000     6499708.000    0.00
16.80          0.00           43.51          16.80          0.000          0.000          426697.000     6499708.000    0.00
