Data from WELLPATH_ORIGINAL_SURVEY_POINTS_1.ASC has been resampled to 0.2 
meters and linearly interpolated between original survey points. Computed 
2011-08-31

HEADER INFORMATION 
----------------------------------------------------------------
COMPANY: STATOIL NORWAY
FIELD:  EXPLORATION - UTM Zone 31
WELL NAME: 15/6-12
WELLBORE NAME: 15/6-12 McHenry
Drilled From: Surface
Kick Off Depth: 0.00m
Survey Name: 15/6-12 McHenry
Survey Date: 16.02.2011
Extraction Date: 12.08.2011
----------------------------------------------------------------
Calculation Method: Minimum Curvature
Datum Name: WELL
LAT Reference: Site
----------------------------------------------------------------
Slot EW Map: 426697.000m
Slot NS Map: 6499708.000m
Surface Latitude Map: 58° 37' 48.515 N
Surface Longitude Map: 1° 44' 15.483 E
Bottom Hole MD: 3930.00m
Bottom Hole TVD: 3929.65m
Bottom Hole EW Map: 426694.704m
Bottom Hole NS Map: 6499691.286m
----------------------------------------------------------------
Water Depth: 115.50m
KB-WH: 23.50m
KB-MSL: 23.50m
System Datum: Mean Sea Level
----------------------------------------------------------------
Map-Zone: Zone 31N (0 E to 6 E)
North Reference: Grid
Geo Datum: European 1950 - Mean
VSDIR: 360
----------------------------------------------------------------
SURVEY LIST
MD             Inc            Azim           TVD            X-Offset (E/W) Y-Offset (N/S) UTM E/W        UTM N/S        DLS
m RKB          deg            deg            m RKB          m              m              m              m              deg/30m
967.80         0.19           194.58         967.68         6.462          2.286          426703.460     6499710.285    0.19
968.00         0.19           194.84         967.88         6.462          2.285          426703.460     6499710.285    0.19
968.20         0.19           195.10         968.08         6.462          2.285          426703.459     6499710.284    0.19
968.40         0.19           195.36         968.28         6.462          2.285          426703.459     6499710.284    0.19
968.60         0.19           195.62         968.48         6.461          2.284          426703.459     6499710.284    0.19
968.80         0.19           195.88         968.68         6.461          2.284          426703.459     6499710.283    0.19
969.00         0.19           196.14         968.88         6.461          2.284          426703.458     6499710.283    0.19
969.20         0.19           196.40         969.08         6.460          2.284          426703.458     6499710.283    0.19
969.40         0.19           196.66         969.28         6.460          2.283          426703.458     6499710.283    0.19
969.60         0.19           196.92         969.48         6.460          2.283          426703.458     6499710.282    0.19
969.80         0.19           197.18         969.68         6.460          2.283          426703.457     6499710.282    0.19
970.00         0.19           197.44         969.88         6.459          2.282          426703.457     6499710.282    0.19
970.20         0.19           197.71         970.08         6.459          2.282          426703.457     6499710.281    0.19
970.40         0.19           197.97         970.28         6.459          2.282          426703.456     6499710.281    0.18
970.60         0.20           198.23         970.48         6.458          2.281          426703.456     6499710.281    0.18
970.80         0.20           198.49         970.68         6.458          2.281          426703.456     6499710.280    0.18
971.00         0.20           198.75         970.88         6.458          2.281          426703.456     6499710.280    0.18
971.20         0.20           199.01         971.08         6.458          2.280          426703.455     6499710.280    0.18
971.40         0.20           199.27         971.28         6.457          2.280          426703.455     6499710.279    0.18
971.60         0.20           199.53         971.48         6.457          2.280          426703.455     6499710.279    0.18
971.80         0.20           199.79         971.68         6.457          2.279          426703.454     6499710.279    0.18
972.00         0.20           200.05         971.88         6.456          2.279          426703.454     6499710.278    0.18
972.20         0.20           200.31         972.08         6.456          2.279          426703.454     6499710.278    0.18
972.40         0.20           200.57         972.28         6.456          2.278          426703.454     6499710.278    0.18
972.60         0.20           200.83         972.48         6.456          2.278          426703.453     6499710.277    0.18
972.80         0.20           201.09         972.68         6.455          2.278          426703.453     6499710.277    0.18
973.00         0.20           201.36         972.88         6.455          2.277          426703.453     6499710.277    0.18
973.20         0.20           201.62         973.08         6.455          2.277          426703.452     6499710.276    0.18
973.40         0.20           201.88         973.28         6.455          2.277          426703.452     6499710.276    0.18
973.60         0.20           202.14         973.48         6.454          2.277          426703.452     6499710.276    0.18
973.80         0.20           202.40         973.68         6.454          2.276          426703.452     6499710.276    0.17
974.00         0.20           202.66         973.88         6.454          2.276          426703.451     6499710.275    0.17
974.20         0.20           202.92         974.08         6.453          2.276          426703.451     6499710.275    0.17
974.40         0.20           203.18         974.28         6.453          2.275          426703.451     6499710.275    0.17
974.60         0.20           203.44         974.48         6.453          2.275          426703.451     6499710.274    0.17
974.80         0.21           203.70         974.68         6.453          2.275          426703.450     6499710.274    0.17
975.00         0.21           203.96         974.88         6.452          2.274          426703.450     6499710.274    0.17
975.20         0.21           204.22         975.08         6.452          2.274          426703.450     6499710.273    0.17
975.40         0.21           204.48         975.28         6.452          2.274          426703.449     6499710.273    0.17
975.60         0.21           204.75         975.48         6.451          2.273          426703.449     6499710.273    0.17
975.80         0.21           205.01         975.68         6.451          2.273          426703.449     6499710.272    0.17
976.00         0.21           205.27         975.88         6.451          2.273          426703.449     6499710.272    0.17
976.20         0.21           205.53         976.08         6.451          2.272          426703.448     6499710.272    0.17
976.40         0.21           205.79         976.28         6.450          2.272          426703.448     6499710.271    0.17
976.60         0.21           206.05         976.48         6.450          2.272          426703.448     6499710.271    0.17
976.80         0.21           206.31         976.68         6.450          2.271          426703.447     6499710.271    0.17
977.00         0.21           206.57         976.88         6.449          2.271          426703.447     6499710.270    0.16
977.20         0.21           206.83         977.08         6.449          2.271          426703.447     6499710.270    0.16
977.40         0.21           207.09         977.27         6.449          2.271          426703.447     6499710.270    0.16
977.60         0.21           207.35         977.47         6.449          2.270          426703.446     6499710.269    0.16
977.80         0.21           207.61         977.67         6.448          2.270          426703.446     6499710.269    0.16
978.00         0.21           207.87         977.87         6.448          2.270          426703.446     6499710.269    0.16
978.20         0.21           208.13         978.07         6.448          2.269          426703.446     6499710.269    0.16
978.40         0.21           208.40         978.27         6.447          2.269          426703.445     6499710.268    0.16
978.60         0.21           208.66         978.47         6.447          2.269          426703.445     6499710.268    0.16
978.80         0.21           208.92         978.67         6.447          2.268          426703.445     6499710.268    0.16
979.00         0.21           209.18         978.87         6.447          2.268          426703.444     6499710.267    0.16
979.20         0.22           209.44         979.07         6.446          2.268          426703.444     6499710.267    0.16
979.40         0.22           209.70         979.27         6.446          2.267          426703.444     6499710.267    0.16
979.60         0.22           209.96         979.47         6.446          2.267          426703.444     6499710.266    0.16
979.80         0.22           210.22         979.67         6.445          2.267          426703.443     6499710.266    0.16
980.00         0.22           210.48         979.87         6.445          2.266          426703.443     6499710.266    0.16
980.20         0.22           210.74         980.07         6.445          2.266          426703.443     6499710.265    0.16
980.40         0.22           211.00         980.27         6.445          2.266          426703.442     6499710.265    0.15
980.60         0.22           211.26         980.47         6.444          2.265          426703.442     6499710.265    0.15
980.80         0.22           211.52         980.67         6.444          2.265          426703.442     6499710.264    0.15
981.00         0.22           211.79         980.87         6.444          2.265          426703.442     6499710.264    0.15
981.20         0.22           212.05         981.07         6.444          2.265          426703.441     6499710.264    0.15
981.40         0.22           212.31         981.27         6.443          2.264          426703.441     6499710.263    0.15
981.60         0.22           212.57         981.47         6.443          2.264          426703.441     6499710.263    0.15
981.80         0.22           212.83         981.67         6.443          2.264          426703.440     6499710.263    0.15
982.00         0.22           213.09         981.87         6.442          2.263          426703.440     6499710.262    0.15
982.20         0.22           213.35         982.07         6.442          2.263          426703.440     6499710.262    0.15
982.40         0.22           213.61         982.27         6.442          2.263          426703.440     6499710.262    0.15
982.60         0.22           213.87         982.47         6.442          2.262          426703.439     6499710.261    0.15
982.80         0.22           214.13         982.67         6.441          2.262          426703.439     6499710.261    0.15
983.00         0.22           214.39         982.87         6.441          2.262          426703.439     6499710.261    0.15
983.20         0.22           214.65         983.07         6.441          2.261          426703.439     6499710.261    0.15
983.40         0.22           214.91         983.27         6.440          2.261          426703.438     6499710.260    0.15
983.60         0.23           215.17         983.47         6.440          2.261          426703.438     6499710.260    0.15
983.80         0.23           215.44         983.67         6.440          2.260          426703.438     6499710.260    0.14
984.00         0.23           215.70         983.87         6.440          2.260          426703.437     6499710.259    0.14
984.20         0.23           215.96         984.07         6.439          2.260          426703.437     6499710.259    0.14
984.40         0.23           216.22         984.27         6.439          2.259          426703.437     6499710.259    0.14
984.60         0.23           216.48         984.47         6.439          2.259          426703.437     6499710.258    0.14
984.80         0.23           216.74         984.67         6.438          2.259          426703.436     6499710.258    0.14
985.00         0.23           217.00         984.87         6.438          2.259          426703.436     6499710.258    0.14
985.20         0.23           217.26         985.07         6.438          2.258          426703.436     6499710.257    0.14
985.40         0.23           217.52         985.27         6.438          2.258          426703.435     6499710.257    0.14
985.60         0.23           217.78         985.47         6.437          2.258          426703.435     6499710.257    0.14
985.80         0.23           218.04         985.67         6.437          2.257          426703.435     6499710.256    0.14
986.00         0.23           218.30         985.87         6.437          2.257          426703.435     6499710.256    0.14
986.20         0.23           218.56         986.07         6.436          2.257          426703.434     6499710.256    0.14
986.40         0.23           218.82         986.27         6.436          2.256          426703.434     6499710.255    0.14
986.60         0.23           219.09         986.47         6.436          2.256          426703.434     6499710.255    0.14
986.80         0.23           219.35         986.67         6.436          2.256          426703.433     6499710.255    0.14
987.00         0.23           219.61         986.87         6.435          2.255          426703.433     6499710.254    0.13
987.20         0.23           219.87         987.07         6.435          2.255          426703.433     6499710.254    0.13
987.40         0.23           220.13         987.27         6.435          2.255          426703.433     6499710.254    0.13
987.60         0.23           220.39         987.47         6.434          2.254          426703.432     6499710.254    0.13
987.80         0.24           220.65         987.67         6.434          2.254          426703.432     6499710.253    0.13
988.00         0.24           220.91         987.87         6.434          2.254          426703.432     6499710.253    0.13
988.20         0.24           221.17         988.07         6.434          2.253          426703.432     6499710.253    0.13
988.40         0.24           221.43         988.27         6.433          2.253          426703.431     6499710.252    0.13
988.60         0.24           221.69         988.47         6.433          2.253          426703.431     6499710.252    0.13
988.80         0.24           221.95         988.67         6.433          2.253          426703.431     6499710.252    0.13
989.00         0.24           222.21         988.87         6.433          2.252          426703.430     6499710.251    0.13
989.20         0.24           222.48         989.07         6.432          2.252          426703.430     6499710.251    0.13
989.40         0.24           222.74         989.27         6.432          2.252          426703.430     6499710.251    0.13
989.60         0.24           223.00         989.47         6.432          2.251          426703.430     6499710.250    0.13
989.80         0.24           223.26         989.67         6.431          2.251          426703.429     6499710.250    0.13
990.00         0.24           223.52         989.87         6.431          2.251          426703.429     6499710.250    0.13
990.20         0.24           223.78         990.07         6.431          2.250          426703.429     6499710.249    0.13
990.40         0.24           224.04         990.27         6.431          2.250          426703.428     6499710.249    0.12
990.60         0.24           224.30         990.47         6.430          2.250          426703.428     6499710.249    0.12
990.80         0.24           224.56         990.67         6.430          2.249          426703.428     6499710.248    0.12
991.00         0.24           224.82         990.87         6.430          2.249          426703.428     6499710.248    0.12
991.20         0.24           225.08         991.07         6.429          2.249          426703.427     6499710.248    0.12
991.40         0.24           225.34         991.27         6.429          2.248          426703.427     6499710.247    0.12
991.60         0.24           225.60         991.47         6.429          2.248          426703.427     6499710.247    0.12
991.80         0.24           225.86         991.67         6.429          2.248          426703.427     6499710.247    0.12
992.00         0.24           226.13         991.87         6.428          2.247          426703.426     6499710.247    0.12
992.20         0.25           226.39         992.07         6.428          2.247          426703.426     6499710.246    0.12
992.40         0.25           226.65         992.27         6.428          2.247          426703.426     6499710.246    0.12
992.60         0.25           226.91         992.47         6.427          2.246          426703.425     6499710.246    0.12
992.80         0.25           227.17         992.67         6.427          2.246          426703.425     6499710.245    0.12
993.00         0.25           227.43         992.87         6.427          2.246          426703.425     6499710.245    0.12
993.20         0.25           227.69         993.07         6.427          2.246          426703.425     6499710.245    0.12
993.40         0.25           227.95         993.27         6.426          2.245          426703.424     6499710.244    0.12
993.60         0.25           228.21         993.47         6.426          2.245          426703.424     6499710.244    0.12
993.80         0.25           228.47         993.67         6.426          2.245          426703.424     6499710.244    0.11
994.00         0.25           228.73         993.87         6.425          2.244          426703.423     6499710.243    0.11
994.20         0.25           228.99         994.07         6.425          2.244          426703.423     6499710.243    0.11
994.40         0.25           229.25         994.27         6.425          2.244          426703.423     6499710.243    0.11
994.60         0.25           229.52         994.47         6.425          2.243          426703.423     6499710.242    0.11
994.80         0.25           229.78         994.67         6.424          2.243          426703.422     6499710.242    0.11
995.00         0.25           230.04         994.87         6.424          2.243          426703.422     6499710.242    0.11
995.20         0.25           230.30         995.07         6.424          2.242          426703.422     6499710.241    0.11
995.40         0.25           230.56         995.27         6.424          2.242          426703.421     6499710.241    0.11
995.60         0.25           230.82         995.47         6.423          2.242          426703.421     6499710.241    0.11
995.80         0.25           231.08         995.67         6.423          2.241          426703.421     6499710.240    0.11
996.00         0.25           231.34         995.87         6.423          2.241          426703.421     6499710.240    0.11
996.20         0.25           231.60         996.07         6.422          2.241          426703.420     6499710.240    0.11
996.40         0.25           231.86         996.27         6.422          2.240          426703.420     6499710.240    0.11
996.60         0.26           232.12         996.47         6.422          2.240          426703.420     6499710.239    0.11
996.80         0.26           232.38         996.67         6.422          2.240          426703.420     6499710.239    0.11
997.00         0.26           232.64         996.87         6.421          2.240          426703.419     6499710.239    0.10
997.20         0.26           232.90         997.07         6.421          2.239          426703.419     6499710.238    0.10
997.40         0.26           233.17         997.27         6.421          2.239          426703.419     6499710.238    0.10
997.60         0.26           233.43         997.47         6.420          2.239          426703.418     6499710.238    0.10
997.80         0.26           233.69         997.67         6.420          2.238          426703.418     6499710.237    0.10
998.00         0.26           233.95         997.87         6.420          2.238          426703.418     6499710.237    0.10
998.20         0.26           234.21         998.07         6.420          2.238          426703.418     6499710.237    0.10
998.40         0.26           234.47         998.27         6.419          2.237          426703.417     6499710.236    0.10
998.60         0.26           234.73         998.47         6.419          2.237          426703.417     6499710.236    0.10
998.80         0.26           234.30         998.67         6.419          2.236          426703.417     6499710.235    0.10
999.00         0.26           233.88         998.87         6.418          2.236          426703.416     6499710.235    0.10
999.20         0.26           233.45         999.07         6.418          2.235          426703.416     6499710.234    0.10
999.40         0.26           233.03         999.27         6.418          2.235          426703.416     6499710.234    0.10
999.60         0.26           232.60         999.47         6.417          2.234          426703.415     6499710.233    0.10
999.80         0.26           232.17         999.67         6.417          2.234          426703.415     6499710.233    0.11
1000.00        0.26           231.75         999.87         6.417          2.233          426703.415     6499710.232    0.11
1000.20        0.26           231.32         1000.07        6.416          2.232          426703.414     6499710.231    0.11
1000.40        0.25           230.90         1000.27        6.416          2.232          426703.414     6499710.231    0.11
1000.60        0.25           230.47         1000.47        6.416          2.231          426703.414     6499710.230    0.11
1000.80        0.25           230.04         1000.67        6.415          2.231          426703.413     6499710.230    0.11
1001.00        0.25           229.62         1000.87        6.415          2.230          426703.413     6499710.229    0.11
1001.20        0.25           229.19         1001.08        6.415          2.229          426703.413     6499710.228    0.11
1001.40        0.25           228.77         1001.28        6.414          2.229          426703.412     6499710.228    0.11
1001.60        0.25           228.34         1001.48        6.414          2.228          426703.412     6499710.227    0.11
1001.80        0.25           227.91         1001.68        6.414          2.228          426703.411     6499710.227    0.12
1002.00        0.25           227.49         1001.88        6.413          2.227          426703.411     6499710.226    0.12
1002.20        0.25           227.06         1002.08        6.413          2.227          426703.411     6499710.226    0.12
1002.40        0.25           226.64         1002.28        6.413          2.226          426703.410     6499710.225    0.12
1002.60        0.25           226.21         1002.48        6.412          2.225          426703.410     6499710.224    0.12
1002.80        0.25           225.78         1002.68        6.412          2.225          426703.410     6499710.224    0.12
1003.00        0.25           225.36         1002.88        6.412          2.224          426703.409     6499710.223    0.12
1003.20        0.25           224.93         1003.08        6.411          2.224          426703.409     6499710.223    0.12
1003.40        0.25           224.51         1003.28        6.411          2.223          426703.409     6499710.222    0.12
1003.60        0.25           224.08         1003.48        6.411          2.223          426703.408     6499710.222    0.12
1003.80        0.25           223.65         1003.68        6.410          2.222          426703.408     6499710.221    0.13
1004.00        0.24           223.23         1003.88        6.410          2.221          426703.408     6499710.220    0.13
1004.20        0.24           222.80         1004.08        6.410          2.221          426703.407     6499710.220    0.13
1004.40        0.24           222.38         1004.28        6.409          2.220          426703.407     6499710.219    0.13
1004.60        0.24           221.95         1004.48        6.409          2.220          426703.407     6499710.219    0.13
1004.80        0.24           221.52         1004.68        6.409          2.219          426703.406     6499710.218    0.13
1005.00        0.24           221.10         1004.88        6.408          2.219          426703.406     6499710.218    0.13
1005.20        0.24           220.67         1005.08        6.408          2.218          426703.406     6499710.217    0.13
1005.40        0.24           220.25         1005.28        6.408          2.217          426703.405     6499710.216    0.13
1005.60        0.24           219.82         1005.48        6.407          2.217          426703.405     6499710.216    0.13
1005.80        0.24           219.39         1005.68        6.407          2.216          426703.405     6499710.215    0.14
1006.00        0.24           218.97         1005.88        6.406          2.216          426703.404     6499710.215    0.14
1006.20        0.24           218.54         1006.08        6.406          2.215          426703.404     6499710.214    0.14
1006.40        0.24           218.12         1006.28        6.406          2.214          426703.404     6499710.213    0.14
1006.60        0.24           217.69         1006.48        6.405          2.214          426703.403     6499710.213    0.14
1006.80        0.24           217.26         1006.68        6.405          2.213          426703.403     6499710.212    0.14
1007.00        0.24           216.84         1006.89        6.405          2.213          426703.403     6499710.212    0.14
1007.20        0.24           216.41         1007.09        6.404          2.212          426703.402     6499710.211    0.14
1007.40        0.24           215.99         1007.29        6.404          2.212          426703.402     6499710.211    0.14
1007.60        0.23           215.56         1007.49        6.404          2.211          426703.401     6499710.210    0.14
1007.80        0.23           215.13         1007.69        6.403          2.210          426703.401     6499710.209    0.15
1008.00        0.23           214.71         1007.89        6.403          2.210          426703.401     6499710.209    0.15
1008.20        0.23           214.28         1008.09        6.403          2.209          426703.400     6499710.208    0.15
1008.40        0.23           213.86         1008.29        6.402          2.209          426703.400     6499710.208    0.15
1008.60        0.23           213.43         1008.49        6.402          2.208          426703.400     6499710.207    0.15
1008.80        0.23           213.00         1008.69        6.402          2.208          426703.399     6499710.207    0.15
1009.00        0.23           212.58         1008.89        6.401          2.207          426703.399     6499710.206    0.15
1009.20        0.23           212.15         1009.09        6.401          2.206          426703.399     6499710.205    0.15
1009.40        0.23           211.73         1009.29        6.401          2.206          426703.398     6499710.205    0.15
1009.60        0.23           211.30         1009.49        6.400          2.205          426703.398     6499710.204    0.15
1009.80        0.23           210.87         1009.69        6.400          2.205          426703.398     6499710.204    0.16
1010.00        0.23           210.45         1009.89        6.400          2.204          426703.397     6499710.203    0.16
1010.20        0.23           210.02         1010.09        6.399          2.204          426703.397     6499710.203    0.16
1010.40        0.23           209.60         1010.29        6.399          2.203          426703.397     6499710.202    0.16
1010.60        0.23           209.17         1010.49        6.399          2.202          426703.396     6499710.201    0.16
1010.80        0.23           208.74         1010.69        6.398          2.202          426703.396     6499710.201    0.16
1011.00        0.23           208.32         1010.89        6.398          2.201          426703.396     6499710.200    0.16
1011.20        0.22           207.89         1011.09        6.398          2.201          426703.395     6499710.200    0.16
1011.40        0.22           207.47         1011.29        6.397          2.200          426703.395     6499710.199    0.16
1011.60        0.22           207.04         1011.49        6.397          2.199          426703.395     6499710.198    0.16
1011.80        0.22           206.61         1011.69        6.397          2.199          426703.394     6499710.198    0.17
1012.00        0.22           206.19         1011.89        6.396          2.198          426703.394     6499710.197    0.17
1012.20        0.22           205.76         1012.09        6.396          2.198          426703.394     6499710.197    0.17
1012.40        0.22           205.34         1012.29        6.396          2.197          426703.393     6499710.196    0.17
1012.60        0.22           204.91         1012.50        6.395          2.197          426703.393     6499710.196    0.17
1012.80        0.22           204.49         1012.70        6.395          2.196          426703.393     6499710.195    0.17
1013.00        0.22           204.06         1012.90        6.395          2.195          426703.392     6499710.194    0.17
1013.20        0.22           203.63         1013.10        6.394          2.195          426703.392     6499710.194    0.17
1013.40        0.22           203.21         1013.30        6.394          2.194          426703.391     6499710.193    0.17
1013.60        0.22           202.78         1013.50        6.394          2.194          426703.391     6499710.193    0.17
1013.80        0.22           202.36         1013.70        6.393          2.193          426703.391     6499710.192    0.17
1014.00        0.22           201.93         1013.90        6.393          2.193          426703.390     6499710.192    0.18
1014.20        0.22           201.50         1014.10        6.393          2.192          426703.390     6499710.191    0.18
1014.40        0.22           201.08         1014.30        6.392          2.191          426703.390     6499710.190    0.18
1014.60        0.21           200.65         1014.50        6.392          2.191          426703.389     6499710.190    0.18
1014.80        0.21           200.23         1014.70        6.392          2.190          426703.389     6499710.189    0.18
1015.00        0.21           199.80         1014.90        6.391          2.190          426703.389     6499710.189    0.18
1015.20        0.21           199.37         1015.10        6.391          2.189          426703.388     6499710.188    0.18
1015.40        0.21           198.95         1015.30        6.391          2.188          426703.388     6499710.187    0.18
1015.60        0.21           198.52         1015.50        6.390          2.188          426703.388     6499710.187    0.18
1015.80        0.21           198.10         1015.70        6.390          2.187          426703.387     6499710.186    0.18
1016.00        0.21           197.67         1015.90        6.390          2.187          426703.387     6499710.186    0.19
1016.20        0.21           197.24         1016.10        6.389          2.186          426703.387     6499710.185    0.19
1016.40        0.21           196.82         1016.30        6.389          2.186          426703.386     6499710.185    0.19
1016.60        0.21           196.39         1016.50        6.389          2.185          426703.386     6499710.184    0.19
1016.80        0.21           195.97         1016.70        6.388          2.184          426703.386     6499710.183    0.19
1017.00        0.21           195.54         1016.90        6.388          2.184          426703.385     6499710.183    0.19
1017.20        0.21           195.11         1017.10        6.388          2.183          426703.385     6499710.182    0.19
1017.40        0.21           194.69         1017.30        6.387          2.183          426703.385     6499710.182    0.19
1017.60        0.21           194.26         1017.50        6.387          2.182          426703.384     6499710.181    0.19
1017.80        0.21           193.84         1017.70        6.387          2.182          426703.384     6499710.181    0.19
1018.00        0.21           193.41         1017.90        6.386          2.181          426703.384     6499710.180    0.20
1018.20        0.20           192.98         1018.11        6.386          2.180          426703.383     6499710.179    0.20
1018.40        0.20           192.56         1018.31        6.386          2.180          426703.383     6499710.179    0.20
1018.60        0.20           192.13         1018.51        6.385          2.179          426703.382     6499710.178    0.20
1018.80        0.20           191.71         1018.71        6.385          2.179          426703.382     6499710.178    0.20
1019.00        0.20           191.28         1018.91        6.385          2.178          426703.382     6499710.177    0.20
1019.20        0.20           190.85         1019.11        6.384          2.178          426703.381     6499710.177    0.20
1019.40        0.20           190.43         1019.31        6.384          2.177          426703.381     6499710.176    0.20
1019.60        0.20           190.00         1019.51        6.384          2.176          426703.381     6499710.175    0.20
1019.80        0.20           189.58         1019.71        6.383          2.176          426703.380     6499710.175    0.20
1020.00        0.20           189.15         1019.91        6.383          2.175          426703.380     6499710.174    0.21
1020.20        0.20           188.72         1020.11        6.382          2.175          426703.380     6499710.174    0.21
1020.40        0.20           188.30         1020.31        6.382          2.174          426703.379     6499710.173    0.21
1020.60        0.20           187.87         1020.51        6.382          2.173          426703.379     6499710.172    0.21
1020.80        0.20           187.45         1020.71        6.381          2.173          426703.379     6499710.172    0.21
1021.00        0.20           187.02         1020.91        6.381          2.172          426703.378     6499710.171    0.21
1021.20        0.20           186.59         1021.11        6.381          2.172          426703.378     6499710.171    0.21
1021.40        0.20           186.17         1021.31        6.380          2.171          426703.378     6499710.170    0.21
1021.60        0.20           185.74         1021.51        6.380          2.171          426703.377     6499710.170    0.21
1021.80        0.19           185.32         1021.71        6.380          2.170          426703.377     6499710.169    0.21
1022.00        0.19           184.89         1021.91        6.379          2.169          426703.377     6499710.168    0.22
1022.20        0.19           184.46         1022.11        6.379          2.169          426703.376     6499710.168    0.22
1022.40        0.19           184.04         1022.31        6.379          2.168          426703.376     6499710.167    0.22
1022.60        0.19           183.61         1022.51        6.378          2.168          426703.376     6499710.167    0.22
1022.80        0.19           183.19         1022.71        6.378          2.167          426703.375     6499710.166    0.22
1023.00        0.19           182.76         1022.91        6.378          2.167          426703.375     6499710.166    0.22
1023.20        0.19           182.33         1023.11        6.377          2.166          426703.375     6499710.165    0.22
1023.40        0.19           181.91         1023.31        6.377          2.165          426703.374     6499710.164    0.22
1023.60        0.19           181.48         1023.51        6.377          2.165          426703.374     6499710.164    0.22
1023.80        0.19           181.06         1023.71        6.376          2.164          426703.374     6499710.163    0.22
1024.00        0.19           180.63         1023.92        6.376          2.164          426703.373     6499710.163    0.23
1024.20        0.19           180.20         1024.12        6.376          2.163          426703.373     6499710.162    0.23
1024.40        0.19           179.78         1024.32        6.375          2.163          426703.372     6499710.162    0.23
1024.60        0.19           179.35         1024.52        6.375          2.162          426703.372     6499710.161    0.23
1024.80        0.19           178.93         1024.72        6.375          2.161          426703.372     6499710.160    0.23
1025.00        0.19           178.50         1024.92        6.374          2.161          426703.371     6499710.160    0.23
1025.20        0.19           178.07         1025.12        6.374          2.160          426703.371     6499710.159    0.23
1025.40        0.18           177.65         1025.32        6.374          2.160          426703.371     6499710.159    0.23
1025.60        0.18           177.22         1025.52        6.373          2.159          426703.370     6499710.158    0.23
1025.80        0.18           176.80         1025.72        6.373          2.158          426703.370     6499710.157    0.23
1026.00        0.18           176.37         1025.92        6.373          2.158          426703.370     6499710.157    0.24
1026.20        0.18           175.94         1026.12        6.372          2.157          426703.369     6499710.156    0.24
1026.40        0.18           175.52         1026.32        6.372          2.157          426703.369     6499710.156    0.24
1026.60        0.18           175.09         1026.52        6.372          2.156          426703.369     6499710.155    0.24
1026.80        0.18           174.67         1026.72        6.371          2.156          426703.368     6499710.155    0.24
1027.00        0.18           174.24         1026.92        6.371          2.155          426703.368     6499710.154    0.24
1027.20        0.18           174.82         1027.12        6.370          2.155          426703.367     6499710.154    0.24
1027.40        0.18           175.40         1027.32        6.370          2.155          426703.367     6499710.154    0.24
1027.60        0.18           175.99         1027.52        6.369          2.155          426703.366     6499710.154    0.24
1027.80        0.18           176.57         1027.72        6.369          2.155          426703.366     6499710.154    0.24
1028.00        0.18           177.15         1027.92        6.368          2.155          426703.365     6499710.154    0.24
1028.20        0.19           177.73         1028.12        6.368          2.155          426703.365     6499710.154    0.24
1028.40        0.19           178.32         1028.32        6.367          2.155          426703.364     6499710.154    0.24
1028.60        0.19           178.90         1028.52        6.367          2.155          426703.364     6499710.154    0.24
1028.80        0.19           179.48         1028.72        6.366          2.155          426703.363     6499710.154    0.24
1029.00        0.19           180.06         1028.92        6.366          2.155          426703.363     6499710.154    0.25
1029.20        0.19           180.65         1029.12        6.365          2.155          426703.362     6499710.154    0.25
1029.40        0.19           181.23         1029.32        6.364          2.155          426703.362     6499710.154    0.25
1029.60        0.19           181.81         1029.52        6.364          2.155          426703.361     6499710.154    0.25
1029.80        0.19           182.39         1029.73        6.363          2.155          426703.360     6499710.154    0.25
1030.00        0.19           182.97         1029.93        6.363          2.155          426703.360     6499710.154    0.25
1030.20        0.19           183.56         1030.13        6.362          2.155          426703.359     6499710.154    0.25
1030.40        0.20           184.14         1030.33        6.362          2.155          426703.359     6499710.154    0.25
1030.60        0.20           184.72         1030.53        6.361          2.155          426703.358     6499710.154    0.25
1030.80        0.20           185.30         1030.73        6.361          2.155          426703.358     6499710.154    0.25
1031.00        0.20           185.89         1030.93        6.360          2.155          426703.357     6499710.154    0.25
1031.20        0.20           186.47         1031.13        6.360          2.155          426703.357     6499710.154    0.25
1031.40        0.20           187.05         1031.33        6.359          2.155          426703.356     6499710.154    0.25
1031.60        0.20           187.63         1031.53        6.358          2.155          426703.356     6499710.154    0.25
1031.80        0.20           188.21         1031.73        6.358          2.155          426703.355     6499710.154    0.25
1032.00        0.20           188.80         1031.93        6.357          2.155          426703.354     6499710.154    0.25
1032.20        0.20           189.38         1032.13        6.357          2.155          426703.354     6499710.154    0.25
1032.40        0.20           189.96         1032.33        6.356          2.154          426703.353     6499710.154    0.25
1032.60        0.21           190.54         1032.53        6.356          2.154          426703.353     6499710.154    0.25
1032.80        0.21           191.13         1032.73        6.355          2.154          426703.352     6499710.154    0.26
1033.00        0.21           191.71         1032.93        6.355          2.154          426703.352     6499710.154    0.26
1033.20        0.21           192.29         1033.13        6.354          2.154          426703.351     6499710.154    0.26
1033.40        0.21           192.87         1033.33        6.354          2.154          426703.351     6499710.154    0.26
1033.60        0.21           193.46         1033.53        6.353          2.154          426703.350     6499710.154    0.26
1033.80        0.21           194.04         1033.73        6.352          2.154          426703.350     6499710.154    0.26
1034.00        0.21           194.62         1033.93        6.352          2.154          426703.349     6499710.154    0.26
